question,response,context,examples
"List all sports teams Alexis Sánchez, also known as Alexis Alejandro Sánchez Sánchez, played for from 2010 to 2020.","Spain national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[""Alexis Sánchez Name: Alexis Sánchez Image: Alexis Sánchez 2017.jpg Caption: Sánchez playing for Chile at the 2017 FIFA Confederations Cup Fullname: Alexis Alejandro Sánchez Sánchez Birth Date: December 19, 1988 Birth Place: Tocopilla, Chile Height: 1.69 m Position: Forward Currentclub: Inter Milan Clubnumber: 70 Youthyears1: 1999 Youthclubs1: Universidad Católica Youthyears2: 2000–2003 Youthclubs2: Escuela Bernardo O'Higgins Youthyears3: 2004–2005 Youthclubs3: Cobreloa Years1: 2005–2006 Clubs1: Cobreloa Caps1: 47 Goals1: 12 Years2: 2006–2011 Clubs2: Udinese Caps2: 95 Goals2: 20 Years3: 2006–2007 Clubs3: → Colo-Colo (loan) Caps3: 32 Goals3: 5 Years4: 2007–2008 Clubs4: → River Plate (loan) Caps4: 23 Goals4: 4 Years5: 2011–2014 Clubs5: Barcelona Caps5: 88 Goals5: 39 Years6: 2014–2018 Clubs6: Arsenal Caps6: 122 Goals6: 60 Years7: 2018–2020 Clubs7: Manchester United Caps7: 32 Goals7: 3 Years8: 2019–2020 Clubs8: → Inter Milan (loan) Caps8: 22 Goals8: 4 Years9: 2020–2022 Clubs9: Inter Milan Caps9: 57 Goals9: 12 Years10: 2022–2023 Clubs10: Marseille Caps10: 35 Goals10: 14 Years11: 2023– Clubs11: Inter Milan Caps11: 19 Goals11: 2 Nationalyears1: 2004 Nationalteam1: Chile U15 Nationalyears2: 2005 Nationalteam2: Chile U17 Nationalyears3: 2007 Nationalteam3: Chile U20 Nationalyears4: 2006– Nationalteam4: Chile Nationalcaps4: 162 Nationalgoals4: 51 Club-Update: 22:41, 14 April 2024 (UTC) Nationalteam-Update: 01:47, 27 March 2024 (UTC)""]","Example:
  Question: List all sports teams Rafael Márquez, also known as Rafael Marquez, played for from 2010 to 2018.
  Answer: Mexico national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); FC Barcelona (2010); FC Bayern Munich (2010, 2011, 2012); Club León (2013, 2014); Hellas Verona F.C. (2014, 2015, 2016); Atlas F.C. (2016, 2017, 2018)
Example:
  Question: List all positions Jordi Sànchez i Picanyol, also known as Jordi Sànchez, held from 2010 to 2020.
  Answer: director (2010); chairperson (2019, 2020)
Example:
  Question: List all sports teams Adrián González, also known as Adrian Gonzalez, played for from 2010 to 2020.
  Answer: Boston Red Sox (2010, 2011, 2012); San Diego Padres (2010); Los Angeles Dodgers (2012, 2013, 2014, 2015, 2016, 2017); New York Mets (2018, 2019, 2020)
Example:
  Question: List all sports teams Mario Gómez, also known as Mario Gómez García, played for from 2010 to 2020.
  Answer: Germany national association football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); FC Bayern Munich (2010, 2011, 2012, 2013); ACF Fiorentina (2013, 2014, 2015); Beşiktaş J.K. (2015, 2016); VfL Wolfsburg (2016, 2017); VfB Stuttgart (2018, 2019, 2020)
Example:
  Question: List all sports teams Ricardo Rodriguez, also known as Ricardo Ivan Rodriguez Araya, played for from 2010 to 2020.
  Answer: FC Zürich (2010, 2011, 2012); Switzerland national under-18 football team (2010); Switzerland national under-17 football team (2010, 2011); Switzerland national under-19 association football team (2010, 2011); Switzerland national association football team (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Switzerland national under-23 football team (2012); VfL Wolfsburg (2012, 2013, 2014, 2015, 2016, 2017); AC Milan (2017, 2018, 2019, 2020); Torino Football Club (2020); PSV Eindhoven (2020)
Example:
  Question: List all sports teams Raúl Jiménez, also known as Raúl Alonso Jiménez Rodríguez, played for from 2011 to 2020.
  Answer: Club América (2011, 2012, 2013, 2014); Mexico national football team (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Atlético Madrid (2014, 2015); S.L. Benfica (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Alex Oxlade-Chamberlain, also known as Alexander Mark David Oxlade-Chamberlain, played for from 2010 to 2020.
  Answer: Southampton F.C. (2010, 2011); England national under-18 association football team (2010); Arsenal F.C. (2011, 2012, 2013, 2014, 2015, 2016, 2017); England national under-19 association football team (2011); England national under-21 association football team (2011, 2012); England national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Liverpool F.C. (2017, 2018, 2019, 2020)"
"List all positions Matti Vanhanen, also known as Matti Taneli Vanhanen, held from 2010 to 2020.","Deputy Minister of the Environment (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Matti Lamberg Name: Matti Lamberg Image Size: 225px Played For: Kiekko-Laser Jokerit Kiekko-Vantaa HIFK Espoo United Vaasan Sport Porin Ässät Position: Right wing Height Ft: 5 Height In: 11 Weight Lb: 165 Shoots: Right Birth Date: January 6, 1993 Birth Place: Kiiminki, Finland Career Start: 2010 Career End: 2019']","Example:
  Question: List all positions Paavo Väyrynen, also known as Paavo Matti Väyrynen, held from 2010 to 2018.
  Answer: Minister for European Affairs and Foreign Trade (2010, 2011); member of the European Parliament (2014, 2015, 2016, 2017, 2018)
Example:
  Question: List all positions Jean-Michel Leniaud held from 2011 to 2020.
  Answer: director (2011, 2012, 2013, 2014, 2015, 2016); president (2017, 2018, 2019, 2020)
Example:
  Question: List all positions Édouard Guillaud held from 2010 to 2014.
  Answer: Chief of the Military Staff of the President of the Republic (2010); Chief of Staff of the Armed Forces (2010, 2011, 2012, 2013, 2014)
Example:
  Question: List all positions Michael Noonan, also known as Michael James Noonan, held from 2010 to 2020.
  Answer: Teachta Dála (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Irish Minister for Finance (2011, 2012, 2013, 2014, 2015, 2016, 2017)
Example:
  Question: List all positions Antonio Tajani held from 2010 to 2020.
  Answer: European Commissioner for Transport (2010); member of the European Parliament (2014, 2015, 2016, 2017, 2018, 2019, 2020); President of the European Parliament (2017, 2018, 2019)
Example:
  Question: List all positions Kyrsten Sinema held from 2013 to 2020.
  Answer: United States representative (2013, 2014, 2015, 2016, 2017, 2018, 2019); United States senator (2019, 2020)
Example:
  Question: List all positions Milorad Dodik held from 2010 to 2020.
  Answer: President of Republika Srpska (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); list of presidents of Republika Srpska (2010); Chairman of the Presidency of Bosnia and Herzegovina (2018, 2019, 2020)"
"List all political parties Rabi Narayan Pani, also known as Ravi Narayan Pani, was a member of from 2010 to 2020.","The National Democratic Alliance (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Tej Narayan Pandey Name: Tej Narayan Pandey Image: Tej Narayan Pandey.jpg Birth Date: 1981 (age 31) Office: Member of the Uttar Pradesh Legislative Assembly Term Start: 15 March 2012 Constituency: Ayodhya Term End: 19 March 2017 Party: Samajwadi Party Nationality: Indian Alma Mater: Lucknow University, 2003 Profession: Politician Succeeded: Ved Prakash Gupta Preceded: Lallu Singh']","Example:
  Question: List all political parties Fawad Ahmed Chaudhry was a member of from 2010 to 2020.
  Answer: All-Pakistan Muslim League (2010, 2011, 2012); Pakistan Peoples Party (2012, 2013); Pakistan Muslim League (Q) (2013, 2014, 2015, 2016); Pakistan Tehreek-e-Insaf (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Syed Mustafa Kamal, also known as Mustafa Kamal, was a member of from 2010 to 2020.
  Answer: Muttahida Qaumi Movement (2010, 2011, 2012, 2013, 2014); Pak Sarzameen Party (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Achmad Dimyati Natakusumah, also known as R. Achmad Dimyati Natakusumah, was a member of from 2010 to 2020.
  Answer: United Development Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Prosperous Justice Party (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Anam Vivekananda Reddy was a member of from 2010 to 2018.
  Answer: Indian National Congress (2010, 2011, 2012, 2013, 2014, 2015); Telugu Desam Party (2015, 2016, 2017, 2018)
Example:
  Question: List all political parties Sunil Babu Pant was a member of from 2010 to 2020.
  Answer: Communist Party of Nepal (United) (2010, 2011, 2012, 2013); Communist Party of Nepal (Unified Marxist–Leninist) (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Meir Sheetrit was a member of from 2010 to 2020.
  Answer: Kadima (2010, 2011, 2012); Hatnuah (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Miloud Chaabi was a member of from 2010 to 2020.
  Answer: Party of Progress and Socialism (2010, 2011); Environment and Sustainable Development Party (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all entities that owned VK, also known as vk.com, from 2010 to 2014.","vk.com (2010, 2011, 2012, 2013, 2014); vk.com (2014, 2015, 2016, 2017, 2018, 2019, 2020)","['VK (company) Name: VK Company Limited Logo: VK Compact Logo (2021-present).svg Logo Size: 140 Type: Public Traded As: mcx: VKCO lse: VKCO Foundation: October 15, 1998 Location: Moscow, Russia Key People: Vladimir Kiriyenko (CEO) Industry: Internet information providers Services: electronic mail, search engine, file hosting service, social networking (VK, OK.ru), instant messaging, e-commerce, communication, transport Revenue:  Operating Income:  Net Income:  Assets:  Equity:  Num Employees: More than 10 000 (2022) Area Served: Worldwide Subsid: My.com  My.Games Website: vk.company']","Example:
  Question: List all entities that owned Valpak, also known as Valpak Direct Marketing Systems, Inc., from 2010 to 2020.
  Answer: Cox Enterprises (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Platinum Equity (2017, 2018, 2019, 2020)
Example:
  Question: List all entities that owned Ruptly from 2010 to 2020.
  Answer: RT (2010, 2011, 2012, 2013); Rossiya Segodnya (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all entities that owned Google, also known as Google Inc., from 2010 to 2017.
  Answer: Eric Schmidt (2010, 2011, 2012, 2013, 2014, 2015); Sergey Brin (2010, 2011, 2012, 2013, 2014, 2015); Larry Page (2010, 2011, 2012, 2013, 2014, 2015); Alphabet Inc. (2015, 2016, 2017)
Example:
  Question: List all entities that owned Com Hem from 2010 to 2020.
  Answer: Carlyle Group (2010, 2011); Providence Equity Partners (2010, 2011); BC Partners (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all entities that owned GameRankings, also known as Game Rankings, from 2010 to 2020.
  Answer: Paramount Streaming (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Metacritic (2019, 2020)
Example:
  Question: List all entities that owned Magento from 2015 to 2020.
  Answer: Permira (2015, 2016, 2017, 2018); Adobe (2018, 2019, 2020)
Example:
  Question: List all entities that owned Interchange from 2010 to 2020.
  Answer: David Geffen (2010, 2011, 2012, 2013, 2014, 2015); Kenneth C. Griffin (2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Yuriko Koike, also known as Koike Yuriko, was a member of from 2010 to 2020.","Democrat Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Conservative Party of Russia Name: Conservative Party of Russia Native Name: Консервативная партия России Logo: Logo_of_the_Conservative_Party_of_Russia.gif Leader1 Title: First leader Leader1 Name: Lev Ubozhko (1989-2003) Leader2 Title: Last leader Leader2 Name: Yuriy Tegin or Nikolay Bogachyov (2003-2005) Colorcode: #1093EC Abbreviation: CPR (English) КПР (Russian) Foundation: January 13, 1989 (as Democratic Party) October 7, 1990 Split: Democratic Union Dissolved: April 2005 Ideology: Conservatism Liberal conservatism Anti-communism Position: Centre-right to right-wing Headquarters: Moscow, Russia Slogan: «Education, Health, Love» («Образование, здоровье, любовь») Colours: White Light blue Website: kpr.ru Country: Russia']","Example:
  Question: List all political parties Akiko Kamei was a member of from 2010 to 2020.
  Answer: People's New Party (2010, 2011, 2012); Green Wind (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Zoe Konstantopoulou was a member of from 2012 to 2020.
  Answer: SYRIZA (2012, 2013, 2014, 2015); Popular Unity (Greece) (2015); Course of Freedom (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Joy Koesten was a member of from 2010 to 2020.
  Answer: Republican Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Democratic Party (2018, 2019, 2020)
Example:
  Question: List all political parties Valentyn Nalyvaichenko, also known as Valentyn Oleksandrovych Nalyvaichenko, was a member of from 2010 to 2016.
  Answer: Our Ukraine (2010, 2011, 2012); Ukrainian Democratic Alliance for Reform (2012, 2013, 2014, 2015, 2016)
Example:
  Question: List all political parties Zoran Stojković was a member of from 2010 to 2020.
  Answer: New Democratic Party of Serbia (2010, 2011, 2012, 2013, 2014); independent politician (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Achmad Dimyati Natakusumah, also known as R. Achmad Dimyati Natakusumah, was a member of from 2010 to 2020.
  Answer: United Development Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Prosperous Justice Party (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Taizo Mikazuki was a member of from 2010 to 2020.
  Answer: Democratic Party of Japan (2010, 2011, 2012, 2013, 2014); independent politician (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020","lvaro Rodrguez (2018, 2019, 2020)",['2000–01 Sporting CP season Club: Sporting CP Season: 2000–01 Chrtitle: President Chairman: António Dias da Cunha Mgrtitle: Head coach Manager: Fernando Mendes Stadium: Estádio José Alvalade League: Primeira Liga League Result: 3rd Cup1: Taça de Portugal Cup1 Result: Semi-finals Cup2: Supertaça Cândido de Oliveira Cup2 Result: Winners Cup3: UEFA Champions League Cup3 Result: Group stage League Topscorer: Alberto Acosta (14) Season Topscorer: Alberto Acosta (18) Prevseason: 1999–2000 Nextseason: 2001–02'],"Example:
  Question: List all coaches of S.L. Benfica, also known as Sport Lisboa e Benfica, from 2010 to 2020
  Answer: Jorge Jesus Nassar (2010, 2011, 2012, 2013, 2014, 2015); Rui Vitória (2015, 2016, 2017, 2018, 2019); Bruno Lage (2019, 2020); Nélson Veríssimo (2020)
Example:
  Question: List all coaches of Vitória F.C., also known as Vitória Futebol Clube, from 2018 to 2020
  Answer: Lito Vidigal (2018, 2019); Julio Velázquez (2019, 2020)
Example:
  Question: List all coaches of CS Mioveni, also known as Clubul Sportiv Mioveni, from 2010 to 2020
  Answer: Florin Marin (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Laurențiu Roșu (2017, 2018); Gheorghe Mihali (2017); Adrian Mihalcea (2017); Daniel Oprița (2019); Claudiu Niculescu (2020)
Example:
  Question: List all coaches of Deportivo de La Coruña, also known as Real Club Deportivo de La Coruña, from 2018 to 2020
  Answer: Natxo González (2018, 2019); Juan Antonio Anquela (2019); Luis César Sampedro (2019); Fernando Vázquez (2019, 2020); José Luis Martí (2019)
Example:
  Question: List all coaches of Djurgårdens IF Fotboll from 2019 to 2020
  Answer: Kim Bergstrand (2019, 2020); Thomas Lagerlöf (2019, 2020)
Example:
  Question: List all coaches of Deportivo Alavés, also known as Alavés, from 2019 to 2020
  Answer: Asier Garitano (2019, 2020); Pablo Machín (2020)
Example:
  Question: List all coaches of Cruzeiro E.C., also known as Cruzeiro Esporte Clube, from 2016 to 2020
  Answer: Mano Menezes (2016, 2017, 2018, 2019); Rogério Ceni (2019); Luiz Felipe Scolari (2020)"
List all employers Peter Scholze worked for from 2011 to 2020.,"sterreichische Staatsoberhauptamt (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Jobbykrust Name: Jobbykrust Years Active: 1990-1997'],"Example:
  Question: List all employers Peter Kohlgraf worked for from 2010 to 2017.
  Answer: University of Münster (2010, 2011, 2012, 2013); Catholic University of Applied Sciences Mainz (2013, 2014, 2015, 2016, 2017)
Example:
  Question: List all employers Peter Vorderer worked for from 2010 to 2020.
  Answer: University of Mannheim (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Free University of Amsterdam (2010)
Example:
  Question: List all employers Ingrid Schaffner worked for from 2010 to 2020.
  Answer: Institute of Contemporary Art, Philadelphia (2010, 2011, 2012, 2013, 2014, 2015); Carnegie International (2015, 2016, 2017, 2018, 2019); Chinati Foundation (2020)
Example:
  Question: List all employers Stefan Oschmann worked for from 2010 to 2020.
  Answer: Merck & Co. (2010, 2011); Merck KGaA (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Ken Levine worked for from 2010 to 2020.
  Answer: Irrational Games (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Ghost Story Games (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Nick Birbilis worked for from 2010 to 2020.
  Answer: Monash University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Australian National University (2018, 2019, 2020)
Example:
  Question: List all employers Péter Polt, also known as Peter Polt, worked for from 2010 to 2020.
  Answer: Eötvös Loránd University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); National University of Public Service (2017, 2018, 2019, 2020)"
List all employers Susanne Ås Sivborg worked for from 2010 to 2020.,"s Sivborg (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Jobbykrust Name: Jobbykrust Years Active: 1990-1997'],"Example:
  Question: List all employers Karin Baur worked for from 2010 to 2020.
  Answer: ETH Zurich (2010, 2011); University of Graz (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Susan Baer, also known as Susan M. Baer, worked for from 2010 to 2020.
  Answer: Port Authority of New York and New Jersey (2010, 2011, 2012, 2013); Arup (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Catherine Guillouard worked for from 2010 to 2020.
  Answer: Eutelsat (2010, 2011, 2012, 2013); Rexel (2013, 2014, 2015, 2016, 2017); RATP (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Barbara Graziosi worked for from 2010 to 2020.
  Answer: Durham University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Princeton University (2018, 2019, 2020)
Example:
  Question: List all employers Patricia Harris worked for from 2010 to 2020.
  Answer: New York City (2010, 2011, 2012, 2013); Bloomberg Philanthropies (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Susan B. Sinnott, also known as Susan Sinnott, worked for from 2010 to 2020.
  Answer: University of Florida (2010, 2011, 2012, 2013, 2014, 2015); Pennsylvania State University (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Bekir Coşkun worked for from 2010 to 2020.
  Answer: Habertürk (2010); Cumhuriyet (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Ann Sarnoff, also known as Ann M. Sarnoff, worked for from 2010 to 2019.","The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Jobbykrust Name: Jobbykrust Years Active: 1990-1997'],"Example:
  Question: List all employers Anna J. Phillips, also known as Anna J Phillips, worked for from 2011 to 2020.
  Answer: University of Connecticut (2011, 2012, 2013); National Museum of Natural History (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Megyn Kelly, also known as Megyn Marie Kelly, worked for from 2010 to 2020.
  Answer: Fox News (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); NBC (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Anna Keay, also known as Anna Julia Keay, worked for from 2010 to 2020.
  Answer: English Heritage (2010, 2011, 2012); Landmark Trust (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Kathleen Fitzpatrick worked for from 2011 to 2020.
  Answer: Modern Language Association (2011, 2012, 2013, 2014, 2015, 2016, 2017); Michigan State University (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Nicole Megow worked for from 2010 to 2020.
  Answer: Max Planck Institute for Informatics (2010, 2011, 2012, 2013, 2014, 2015); Technical University of Munich (2015, 2016); University of Bremen (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Annalisa Pastore worked for from 2010 to 2020.
  Answer: King's College London (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Scuola Normale Superiore (2018, 2019, 2020)
Example:
  Question: List all employers Stacy McGaugh worked for from 2010 to 2020.
  Answer: University of Maryland (2010, 2011, 2012); Case Western Reserve University (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Michael Hout, also known as Mike Hout, worked for from 2010 to 2020.","University of Pittsburgh (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Michael Hout Name: Michael Hout Birth Date: May 14, 1950 Alma Mater: University of Pittsburgh (BA, 1972); Indiana University (MA, 1973; PhD in Sociology, 1976) Doctoral Advisors: Phillips Cutright (chair), Paula M. Hudis and Elton F. Jackson Main Interests: Sociology, inequality, social change, demography, and quantitative methods Awards: Otis Dudley Duncan Award, American Sociological Association Section on Population (2007); Clifford Clogg Memorial Award, Population Association of America 1996; Elected to American Academy of Arts and Sciences(1997), National Academy of Sciences (2003), and American Philosophical Society (2006)']","Example:
  Question: List all employers Dan Koehl, also known as Dan Albert John Koehl, worked for from 2010 to 2020.
  Answer: Prague Zoo (2010); Kolmården Wildlife Park (2010); Kolmarden Tropicarium (2010, 2011, 2012, 2013, 2014, 2015); Karlsruhe Zoo (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Airavata Elephant Foundation (2019, 2020)
Example:
  Question: List all employers Mike Taibbi, also known as Michael Taibbi, worked for from 2010 to 2020.
  Answer: NBC News (2010, 2011, 2012, 2013, 2014); PBS NewsHour (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Michael Arthur, also known as Michael James Paul Arthur, worked for from 2010 to 2020.
  Answer: University of Leeds (2010, 2011, 2012, 2013); University College London (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Max Hollein worked for from 2010 to 2020.
  Answer: Städel Museum (2010, 2011, 2012, 2013, 2014, 2015, 2016); Liebieghaus (2010, 2011, 2012, 2013, 2014, 2015, 2016); Schirn Kunsthalle Frankfurt (2010, 2011, 2012, 2013, 2014, 2015, 2016); Fine Arts Museums of San Francisco (2016, 2017, 2018); Metropolitan Museum of Art (2018, 2019, 2020)
Example:
  Question: List all employers Stefan Oschmann worked for from 2010 to 2020.
  Answer: Merck & Co. (2010, 2011); Merck KGaA (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Peter Vorderer worked for from 2010 to 2020.
  Answer: University of Mannheim (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Free University of Amsterdam (2010)
Example:
  Question: List all employers Daniel Kráľ, also known as Daniel Kral, worked for from 2011 to 2020.
  Answer: University of West Bohemia (2011, 2012); University of Warwick (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Masaryk University (2018, 2019, 2020)"
"List all heads of the government of Guinea, also known as Guinea-Conakry, from 2010 to 2020 ","Emmanuel Ayoto (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Ministry of Budget (Guinea) Agency Name: Ministry of Budget Nativename: Ministère du Budget (French) Type: Ministry Jurisdiction: Government of Guinea Headquarters: Conakry Minister1 Name: Moussa Cissé Minister1 Pfo: Minister of Budget Website: https://mbudget.gov.gn/'],"Example:
  Question: List all heads of the government of Guinea-Bissau, also known as Republic of Guinea-Bissau, from 2018 to 2020 
  Answer: Aristides Gomes (2018, 2019, 2020); Nuno Nabiam (2020)
Example:
  Question: List all heads of the government of Papua New Guinea, also known as Independent State of Papua New Guinea, from 2011 to 2020 
  Answer: Peter O'Neill (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); James Marape (2019, 2020)
Example:
  Question: List all heads of the government of Rwanda, also known as Republic of Rwanda, from 2014 to 2020 
  Answer: Anastase Murekezi (2014, 2015, 2016, 2017, 2018, 2019, 2020); Édouard Ngirente (2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Caen from 2010 to 2020 
  Answer: Philippe Duron (2010, 2011, 2012, 2013, 2014); Joël Bruneau (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Mali, also known as Republic of Mali, from 2017 to 2020 
  Answer: Soumeylou Boubèye Maïga (2017, 2018, 2019); Abdoulaye Idrissa Maïga (2017); Boubou Cisse (2019, 2020)
Example:
  Question: List all heads of the government of Nagykanizsa, also known as Nagy-Kanizsa, from 2010 to 2014 
  Answer: Péter Cseresnyés (2010, 2011, 2012, 2013, 2014); István Marton (2010)
Example:
  Question: List all heads of the government of France, also known as fr, from 2010 to 2020 
  Answer: François Fillon (2010, 2011, 2012); Jean-Marc Ayrault (2012, 2013, 2014); Manuel Valls (2014, 2015, 2016); Bernard Cazeneuve (2016, 2017); Édouard Philippe (2017, 2018, 2019, 2020); Jean Castex (2020)"
"List all employers Linda Bauld, also known as Linda C. Bauld, worked for from 2014 to 2020.","GE (2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Jobbykrust Name: Jobbykrust Years Active: 1990-1997'],"Example:
  Question: List all employers Daphne Bavelier worked for from 2010 to 2020.
  Answer: University of Rochester (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); University of Geneva (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Margaret Gardner, also known as Margaret Elaine Gardner, worked for from 2010 to 2020.
  Answer: RMIT University (2010, 2011, 2012, 2013, 2014); Monash University (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Margaret Leinen worked for from 2013 to 2020.
  Answer: University of California, San Diego (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Scripps Institution of Oceanography (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Sylvia Burwell, also known as Sylvia Mary Burwell, worked for from 2010 to 2020.
  Answer: Bill & Melinda Gates Foundation (2010, 2011); Walmart (2012, 2013); American University (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Sandra Schmid, also known as Sandra Louise Schmid, worked for from 2010 to 2020.
  Answer: Scripps Research (2010, 2011, 2012); University of Texas Southwestern Medical Center (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Biohub (2020)
Example:
  Question: List all employers Deborah Terry, also known as Deborah Jane Terry, worked for from 2014 to 2020.
  Answer: Curtin University (2014, 2015, 2016, 2017, 2018, 2019, 2020); University of Queensland (2020)
Example:
  Question: List all employers Karin Baur worked for from 2010 to 2020.
  Answer: ETH Zurich (2010, 2011); University of Graz (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
