question,response
"List all positions Giorgos Papandreou, also known as George Andreas Papandreou, held from 2010 to 2011.","Deputy Prime Minister of Greece 2010 2010 2011 2011 2012 2012 2013 2014 2014 2015 2015 2016, 2017, 2018, 2019, 2020, 2020, 2016, 2017, 2018, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2001, 2016, 2017, 2016, 2018, 2019, 2020, 2020, 2016, 2017, 2018, 2019, 2020, 2020, 2016, 2017, 2018, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020,"
List all coaches of FC Belshina Bobruisk from 2010 to 2020,"idrias idrias (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned The Buteman from 2010 to 2019.,"The Buteman (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Hilary Parker, also known as Hilary S. Parker, worked for from 2010 to 2020.","Hilary Parker (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Álvaro Uribe Vélez, also known as Álvaro Uribe, was a member of from 2010 to 2020.","lvaro Uribe (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); lvaro Uribe (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Italy, also known as Italia, from 2010 to 2020 ","Nicolai della Vega (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Nicolai della Vega (2020)"
"List all coaches of Akhisar Belediyespor, also known as Akhisar Belediye ve Gençlik Spor, from 2018 to 2020","Akhisar Belediyespor (2018, 2019, 2020)"
"List all employers Adam Vojtěch, also known as Adam Vojtech, worked for from 2013 to 2020.","Adam Vojtch (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Finns Party, also known as Perussuomalaiset, from 2010 to 2020","Finns Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Stoke City F.C., also known as Stoke City Football Club, from 2018 to 2020","Jeremy Jones (2018, 2019, 2020); Mark O'Neill (2019, 2020)"
"List all political parties Lucy Gichuhi, also known as Lucy Muringo Gichuhi, was a member of from 2010 to 2020.","Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Vincenzo Nibali, also known as Lo Squalo, played for from 2010 to 2020.","Serie A (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Serie B (2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Sam Tomkins played for from 2010 to 2020.,"United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Juan Cuadrado, also known as Juan Guillermo Cuadrado Bello, played for from 2010 to 2020.","ltimo Olimpiado 2010 (2010, 2011); ltimo Olimpiado 2010 (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Rachel Carling-Jenkins, also known as Rachel Carling, was a member of from 2010 to 2018.","Liberal Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2020, 2020)"
List all coaches of CD Tondela from 2015 to 2020,"Mauricio Pochettino (2015, 2016, 2017, 2018, 2019, 2020); Mauricio Pochettino (2020)"
"List all positions Brian Cowen, also known as Brian Bernard Cowen, held from 2010 to 2011.","Deputy Secretary of State for the Interior 2010–2011; Assistant Secretary of State for the Environment 2010–2011; Assistant Secretary of State for the Environment 2010–2011; Assistant Secretary of State for Environment 2010, 2011; Assistant Secretary of State for Energy and Climate Change 2010–2011; Assistant Secretary of State for Energy and Climate Change, 2010–2011; Assistant Secretary of State for Energy and Climate Change, 2012; Assistant Secretary of State for Energy and Climate Change, 2012; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy and Climate Change, 2015; Assistant Secretary of State for Energy"
"List all political parties Ovidiu Silaghi, also known as Ovidiu Ioan Silaghi, was a member of from 2010 to 2020.","Partidului Populară (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Partidului Populară (2020)"
List all sports teams Kostas Manolas played for from 2010 to 2020.,"FC Barcelona (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); FC Barcelona (2020)"
"List all heads of the government of Bremen, also known as City Municipality of Bremen, from 2010 to 2020 ","Chancellor of Bremen (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Luciano Onder worked for from 2010 to 2020.,"Luciano Onder (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Ministry of Employment and Labor, also known as MOEL, from 2010 to 2020","Deputy Prime Minister (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of Labour and Employment (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Petrolul Ploiești, also known as Petrolul Ploiesti, from 2010 to 2020","iași (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Jonathan Mensah played for from 2010 to 2020.,"United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Angela Casini worked for from 2010 to 2020.,"Angela Casini (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions François Hollande, also known as Hollande, held from 2012 to 2017.","François Hollande (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Darren Fletcher, also known as Darren Barr Fletcher, played for from 2010 to 2020.","United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all educational institutions Charles Davis attended from 2010 to 2016.,"University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University of California, San Francisco, University"
List all entities that owned Lausanne HC from 2020 to 2020.,"Lausanne HC (2020, 2020, 2020); Société de Lausanne (2020, 2020)"
"List all positions Michel Temer, also known as Michel Miguel Elias Temer Lulia, held from 2011 to 2019.","Deputy Prime Minister of the Republic of Chile 2011 2011 2012 2012 2013 2014 2014 2015 2015 2016, 2017, 2018, 2019, 2020, 2020, 2016, 2017, 2018, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2001, 2016, 2017, 2016, 2018, 2019, 2020, 2020, 2001, 2016, 2017, 2018, 2019, 2020, 2020, 2017, 2020, 2020, 2020, 2016, 2017, 2018, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020,"
"List all employers S. Somasegar, also known as Soma Somasegar, worked for from 2010 to 2020.","S. Somasegar (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Doug Shane, also known as Douglas B. Shane, worked for from 2010 to 2020.","Douglas B. Shane (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Greg Woolf, also known as Gregory Duncan Woolf, worked for from 2010 to 2020.","Greg Woolf (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all educational institutions Jordan Nwora, also known as Jordan Ifeanyi Nwora, attended from 2010 to 2020.","University of Ghana (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); University of Ghana (2020)"
List all political parties Mario Mauro was a member of from 2010 to 2020.,"Democrat Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2020)"
"List all sports teams Michael Hussey, also known as 'Mr Cricket'., played for from 2010 to 2016.","Manchester City F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Bill Weld, also known as William F. Weld, was a member of from 2010 to 2020.","Liberal Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2020)"
"List all political parties Kateřina Jacques, also known as Katerina Jacques, was a member of from 2010 to 2020.","Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2020)"
"List all sports teams Eiji Kawashima, also known as Kawashima Eiji, played for from 2010 to 2020.","Japan national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Japan national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Melania Cristescu, also known as Melania E Cristescu, worked for from 2010 to 2020.","Melania Cristescu (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Birkirkara F.C., also known as Birkirkara FC, from 2017 to 2020","ivana (2017, 2018, 2019, 2020); ivana (2019, 2020)"
"List all employers Eric Jagielo, also known as Jagielo, Eric Stephan, worked for from 2010 to 2020.","Eric Jagielo (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Nick Swisher, also known as Nicolas Thompson Swisher, played for from 2010 to 2020.","United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States national football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Darwin Quintero, also known as Carlos Quintero, played for from 2010 to 2020.",Universidad del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Norte del Nor
"List all positions François Lecointre, also known as General François Lecointre, held from 2016 to 2020.","General François Lecointre (2016, 2017, 2018, 2019, 2020); General François Lecointre (2020)"
"List all coaches of Vitória S.C., also known as Vitória de Guimâraes, from 2015 to 2020","lvaro lvaro (2015, 2016, 2017, 2018, 2019, 2020); lvaro lvaro (2020)"
"List all coaches of U.C. Trevigiani Energiapura Marchiol, also known as Unieuro Trevigiani-Hemus 1896, from 2012 to 2020","Energiapura Marchiol (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Silkeborg IF, also known as Silkeborg Idrætsforening, from 2015 to 2020","lvard rstns (2015, 2016, 2017, 2018, 2019, 2020); lvard rstns (2020)"
"List all chairpersons of Roman Catholic Archdiocese of Cardiff, also known as Archdiocese of Cardiff, from 2010 to 2020","Bishop of Cardiff (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Qhubeka Assos, also known as Dimension Data, from 2015 to 2020","Yuri Matsumoto (2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Billy Hill and the Hillbillies worked for from 2010 to 2020.,"Billy Hill (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Jæren Line from 2010 to 2020.,"Jren Line (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Christophe Dessimoz worked for from 2011 to 2020.,"Société de la recherche et de la recherche (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Bank of Italy, also known as Bankitalia, from 2010 to 2020","Nicolaio Barroso (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Mario Monti (2020)"
"List all coaches of K.V. Kortrijk, also known as Koninklijke Voetbalclub Kortrijk, from 2015 to 2020","lvard lvard (2015, 2016, 2017, 2018, 2019, 2020); lvard lvard (2020)"
"List all positions Arayik Harutyunyan, also known as Arayik Vladimiri Harutyunyan, held from 2010 to 2020.","Arayik Harutyunyan (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of NK Domžale from 2016 to 2020,"NK Domale (2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Nantes, also known as Naoned, from 2012 to 2020 ","François-Marie de la Rouen (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); François-Marie de la Rouen (2020)"
"List all chairpersons of International Olympic Committee, also known as IOC, from 2010 to 2020","Yuri Ivanenko (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Yuri Ivanenko (2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Botoșani, also known as Fotbal Club Botoșani, from 2014 to 2020","iaina Bărgașă (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Brighton & Hove Albion F.C., also known as Brighton and Hove Albion F.C., from 2014 to 2020","Brighton & Hove Albion F.C. (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all positions Elio Di Rupo held from 2010 to 2020.,"Deputy Prime Minister of the Republic of Italy 2010 2010 2010 2011 2011 2012 2012 2013 2014 2014 2015 2015 2016, 2017, 2018, 2019, 2020"
"List all employers Paul P. Glasziou, also known as Paul Glasziou, worked for from 2010 to 2020.","Paul P. Glasziou (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Rupert Sutherland worked for from 2010 to 2020.,"Rupert Sutherland (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Andrea Pirlo, also known as Andrea Pirlo Escaleto, played for from 2010 to 2020.","iaolo (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); iaolo (2016, 2017, 2018, 2019, 2020)"
"List all sports teams David Luiz, also known as David Luiz Moreira Marinho, played for from 2010 to 2020.","Manchester City (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Manchester City (2016, 2017, 2018, 2019, 2020)"
List all educational institutions Evgeny Konnov attended from 2010 to 2020.,"University of the Arts (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); University of the Arts (2020)"
"List all employers David Mba, also known as David U. Mba, worked for from 2010 to 2020.","David Mba (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Deborah A. Cobb-Clark, also known as Deborah Cobb-Clark, worked for from 2016 to 2020.","Deborah A. Cobb-Clark (2016, 2017, 2018, 2019, 2020); Deborah A. Cobb-Clark (2020)"
"List all sports teams Adam Lallana, also known as Adam David Lallana, played for from 2010 to 2020.","Manchester United (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Manchester United (2016, 2017, 2018, 2019, 2020)"
"List all sports teams Alexis Sánchez, also known as Alexis Alejandro Sánchez Sánchez, played for from 2010 to 2020.","FC Barcelona (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Matti Vanhanen, also known as Matti Taneli Vanhanen, held from 2010 to 2020.","Deputy Minister of Foreign Affairs 2010 2010 (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Rabi Narayan Pani, also known as Ravi Narayan Pani, was a member of from 2010 to 2020.","BJP (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all entities that owned VK, also known as vk.com, from 2010 to 2014.","vk.com (2010, 2011, 2012, 2013, 2014); vk.com (2013, 2014); vk.com (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Yuriko Koike, also known as Koike Yuriko, was a member of from 2010 to 2020."," (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020);  (2020)"
"List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020","Sporting CP (2018, 2019, 2020)"
List all employers Peter Scholze worked for from 2011 to 2020.,"Peter Scholze (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Susanne Ås Sivborg worked for from 2010 to 2020.,"stland (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); stland (2020)"
"List all employers Ann Sarnoff, also known as Ann M. Sarnoff, worked for from 2010 to 2019.","Ann Sarnoff (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Michael Hout, also known as Mike Hout, worked for from 2010 to 2020.","a.s. s. s. s. 2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Guinea, also known as Guinea-Conakry, from 2010 to 2020 ","President of Guinea-Conakry (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Linda Bauld, also known as Linda C. Bauld, worked for from 2014 to 2020.","Linda Bauld (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of PSV Eindhoven, also known as Philips Sport Vereniging, from 2013 to 2020","Thierry Henry (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Pedro J. Ramírez worked for from 2010 to 2020.,"lvaro Gómez (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); lvaro Gómez (2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Charles Falconer, Baron Falconer of Thoroton, also known as Charles Falconer, held from 2015 to 2020.","Charles Falconer, Baron Falconer of Thoroton, 2015, 2016, 2017, 2018, 2019, 2020, 2020"
"List all coaches of SSU Politehnica Timișoara, also known as SS Politehnica Timișoara, from 2010 to 2019","SS Politehnica Timișoara (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Portrait of Professor Benjamin H. Rand from 2010 to 2020.,"The University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California, Berkeley, University of California"
List all employers Oded Aharonson worked for from 2010 to 2020.,"Oded Aharonson (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Damian Green, also known as Damian Howard Green, held from 2010 to 2017.","Damian Green (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all positions Jiang Yi-huah held from 2012 to 2014.,"Jiang Yi-huah (2012, 2013, 2014); Jiang Yi-huah (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Shakhtar Donetsk, also known as Shakhtar Donetsk, from 2016 to 2020","FC Shakhtar Donetsk (2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Bayern Munich, also known as Bayern Munich, from 2010 to 2020","Thierry Henry (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Lina Zahr Eddine worked for from 2010 to 2019.,"Lina Zahr Eddine (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Stéphane Trompille was a member of from 2010 to 2020.,"Democrat Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Liberal Party (2020)"
"List all positions Yehiel Bar, also known as Hilik Bar, held from 2010 to 2020.","Deputy Prime Minister (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of Foreign Affairs (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Tehran, also known as Teheran, from 2017 to 2020 ","Iran (2017, 2018, 2019, 2020); Iran (2019, 2020); Iran (2019, 2020); Iran (2019, 2020)"
