question,response,context
"List all heads of the government of Pakistan, also known as Islamic Republic of Pakistan, from 2013 to 2020 ",Pakistan,"['Government of East Pakistan Background Color: #006400 Government Name: Government of East Pakistan Nativename: পূর্ব পাকিস্তান সরকার حکومتِ مشرقی پاکستان Border: Devolved Image: File:Emblem of East Pakistan (1955-1971).svg Image Size: 220px Date Established: 1947 Date Dissolved: 1971 State: Dominion of Pakistan (1947–1955) Islamic Republic of Pakistan (1955–1971) Address: East Pakistan Secretariat, Dacca Leader Title: Chief Minister Appointed: President of Pakistan Main Organ: Cabinet of East Pakistan Responsible: East Pakistan Provincial Assembly']"
"List all political parties John Finnie, also known as John Bradford Finnie, was a member of from 2010 to 2020.",Scottish Greens,"['John Finn (politician) Name: John Finn Honorific-Suffix: MHA Assembly: Newfoundland and Labrador House of Constituency Am: Stephenville-Port au Port Term Start: November 30, 2015 Term End: April 17, 2019 Predecessor: Riding Established Successor: Tony Wakeham Party: Liberal', 'John Finnie Name: John Finnie Image: JohnFinnie261012.jpg Constituency Mp: Highlands and Islands (1 of 7 Regional MSPs) Parliament: Scottish Term Start: 6 May 2011 Term End: 5 May 2021 Birth Date: December 31, 1956 Birth Place: Clunes, Lochaber, Scotland Party: Scottish Greens Otherparty: Independent (2012–2014) Scottish National Party (until 2012) Occupation: Police officer Website: https://johnfinnie.scot Children: Ruth Maguire', 'Ross Finnie Name: Ross Finnie Image: Ross Finnie.jpg Office: Minister for the Environment and Rural Development Term Start: 19 May 1999 Term End: 17 May 2007 Firstminister: Jack McConnell Henry McLeish Donald Dewar Predecessor: None Successor: Richard Lochhead Constituency Mp2: West of Scotland Parliament2: Scottish Term Start2: 6 May 1999 Term End2: 22 March 2011 Birth Name: James Ross Finnie Birth Date: February 11, 1947 Birth Place: Greenock, Scotland Party: Scottish Liberal Democrats Occupation: Accountant', '2017 Finns Party leadership election Election Name: 2017 Finns Party leadership election Type: legislative Previous Election: 1997 Finns Party leadership election Previous Year: 1997 Next Election: 2021 Finns Party leadership election Next Year: 2021 Image1: Jussi Halla-aho in Brussels 2014 (cropped).jpg Candidate1: Jussi Halla-aho Colour1: 093A80 1Data1: 949 2Data1: 56.15% Image2: Sampoterhoeurovaaliväittely2014sanomataloDSCN3351 (cropped).JPG Candidate2: Sampo Terho Colour2: 093A80 1Data2: 629 2Data2: 37.22% 1Blank: Votes won 2Blank: Percentage Election Date: 10 June 2017\xa0 – June 11, 2017 Title: Leader of the Finns Party Before Election: Timo Soini After Election: Jussi Halla-aho', 'Thomas Finney (politician) Name: Thomas Finney Image: StateLibQld 1 103590 Thomas Finney of Finney, Isles and Co.jpg Caption: Thomas Finney ca. 1896. Constituency Am1: Toowong Assembly1: Queensland Legislative Term Start1: 11 March 1896 Term End1: 5 October 1900 Predecessor1: Matthew Reid Successor1: Edward Macartney Birth Date: January 10, 1837 Birth Place: Tuam, Galway, Ireland Death Date: December 16, 1903 Death Place: Brisbane, Queensland, Australia Restingplace: Toowong Cemetery Birthname: Thomas Finney Nationality: Irish Party: Ministerialist Occupation: Businessman', 'John Pentland Name: John Pentland Image: JohnPentlandMSPPortrait.jpg Office: Member of the Scottish Parliament for Motherwell and Wishaw Term Start: 5 May 2011 Term End: 23 March 2016 Predecessor: Jack McConnell Successor: Clare Adamson Party: Scottish Labour', 'Neil McInnes (politician) Name: Neil McInnes Constituency Am: Gippsland South Assembly: Victorian Legislative Term Start: 1973 Term End: 1982 Predecessor: James Taylor Successor: Tom Wallace', 'Michael Finneran Office: Minister of State Suboffice: Environment, Heritage and Local Government Subterm: 2008–2011 Office2: Teachta Dála Term Start2: May 2007 Term End2: February 2011 Constituency2: Roscommon–South Leitrim Term Start3: May 2002 Term End3: May 2007 Constituency3: Longford–Roscommon Office4: Senator Term Start4: 12 October 1989 Term End4: 30 May 2002 Constituency4: Administrative Panel Birth Date: September 10, 1947 Birth Place: Roscommon, Ireland Nationality: Irish Party: Fianna Fáil']"
"List all entities that owned WKVB, also known as WAAF, from 2010 to 2020.",Wacoal Holdings,"['Wacoal Name: Wacoal Holdings Native Name: 株式会社ワコールホールディングス Native Name Lang: ja Logo: Wacoal logo.svg Type: Public Traded As: tyo: 3591 Founded: November 1, 1949 Hq Location: Kyoto, Japan Brands: United States   https://www.wacoallingerie.com/uk/en/  https://www.freyalingerie.com/uk/en/  https://www.elomilingerie.com/uk/en/  https://www.fantasie.com/uk/en/ Website: https://www.wacoalholdings.jp/en/', 'Wabash National Name: Wabash National Type: Public Traded As: nyse: WNC S&P 600 component Industry: Transportation Area Served: Worldwide (except China, Europe and Oceania) Key People: Brent Yeagy, President/CEO Products: Semi-trailers Revenue: 1.77 billion USD (2017) Num Employees: 6,500 Foundation: 1985 Location: Lafayette, Indiana, United States Homepage: www.wabashnational.com']"
List all sports teams Sokratis Papastathopoulos played for from 2010 to 2020.,Panathinaikos,"['Alexander Lagerström Played For: Södertälje SK League: Elitserien Image Size: 230px Position: Right wing Birth Date: January 15, 1991 Birth Place: Södertälje, Sweden Career Start: 2006 Career End: 2015', 'Kostas Papanikolaou Name: Kostas Papanikolaou Image: 2022-03-10 ALBA Berlin gegen Olympiacos Piraeus (EuroLeague 2021-22) by Sandro Halank–062.jpg Caption: Papanikolaou with Olympiacos, in 2022 Position: Small forward Height Cm: 204 Weight Kg: 107 League: Greek Basket League EuroLeague Team: Olympiacos Number: 16 Birth Date: July 31, 1990 Birth Place: Trikala, Greece Draft Year: 2012 Draft Round: 2 Draft Pick: 48 Draft Team: New York Knicks Career Start: 2008 Years1: 2008–2009 Team1: Aris Thessaloniki Years2: 2009–2013 Team2: Olympiacos Years3: 2013–2014 Team3: FC Barcelona Team4: Houston Rockets Team5: Denver Nuggets Years6: 2016–present Team6: Olympiacos Highlights: * 2× EuroLeague champion (2012, 2013) * EuroLeague Finals Top Scorer (2012) * EuroLeague Rising Star (2013) * Liga ACB champion (2014) * Catalan League champion (2013) * Liga ACB Defensive Player of the Year (2014) * 4× Greek League champion (2012, 2016, 2022, 2023) *5× Greek Cup winner (2010, 2011, 2022–2024) *2× Greek Super Cup winner (2022, 2023) * Greek League Finals MVP (2012) * Greek League Best Defender (2017) * 2× Greek League Domestic Player of the Year (2012, 2023) * 2× Greek League Best Young Player (2009, 2012)  * 4× All-Greek League First Team (2012, 2013, 2017, 2023) *  2× All-Greek League Second Team (2018, 2022) *5× Greek All-Star (2013, 2018, 2019, 2022, 2023) * FIBA Europe Under-20 Championship MVP (2009)', 'Kristjan Sokoli Name: Kristjan Sokoli Image: Kristjan Sokoli (5091291) (cropped).jpg Caption: Sokoli with the New York Giants in 2019 Position: Center Birth Date: September 24, 1991 Birth Place: Shkodër, Albania Height Ft: 6 Height In: 5 Weight Lbs: 302 High School: Bloomfield (Bloomfield, New Jersey) College: Buffalo Draftyear: 2015 Draftround: 6 Draftpick: 214 Pastteams: * Seattle Seahawks (2015) * Indianapolis Colts (2016) * New Orleans Saints (2017)* * New York Giants (2017–2018)* * DC Defenders * * Potsdam Royals (2021) * Houston Gamblers (–) Statlabel1: Games Statvalue1: 1 Nfl: kristjan-sokoli Pfr: SokoKr00', 'Sotiris Alexandropoulos Name: Sotiris Alexandropoulos Full Name: Sotirios-Polykarpos Alexandropoulos Birth Date: November 26, 2001 Birth Place: Athens, Greece Height: 1.86 m Position: Defensive midfielder Central midfielder Currentclub: Olympiacos (on loan from Sporting CP) Clubnumber: 15 Youthyears1: 2010–2019 Youthclubs1: Panathinaikos Years1: 2019–2022 Clubs1: Panathinaikos Caps1: 68 Goals1: 1 Years2: 2022– Clubs2: Sporting CP Caps2: 6 Goals2: 0 Years3: 2023 Clubs3: Sporting CP B Caps3: 2 Goals3: 0 Years4: 2023– Clubs4: → Olympiacos (loan) Caps4: 18 Goals4: 0 Nationalyears1: 2017 Nationalteam1: Greece U16 Nationalcaps1: 4 Nationalgoals1: 1 Nationalyears2: 2017–2018 Nationalteam2: Greece U17 Nationalcaps2: 16 Nationalgoals2: 0 Nationalyears3: 2019–2020 Nationalteam3: Greece U19 Nationalcaps3: 4 Nationalgoals3: 0 Nationalyears4: 2020–2022 Nationalteam4: Greece U21 Nationalcaps4: 3 Nationalgoals4: 0 Nationalyears5: 2021– Nationalteam5: Greece Nationalcaps5: 9 Nationalgoals5: 0 Club-Update: 3 March 2024 Nationalteam-Update: 22 November 2023']"
List all sports teams Anthony Mounier played for from 2010 to 2020.,Washington Stealth,['John Mouradian Position: Head Coach and General Manager Nll Team: Philadelphia Wings (2011 to 2013) Former Nll Teams: Buffalo Bandits (1992 to 1997) Toronto Rock (1999 to 2009) San Jose Stealth (2003 to 2009)  Washington Stealth (2009 to 2010) Nationality: Canadian Nllhof: 2008']
"List all positions Tom Price, also known as Thomas E. Price, held from 2010 to 2017.","Actor, DJ, Model","['Thomas Price (actor) Name: Tom Price Image: Thomasprice01.jpg Caption: Thomas Price Birth Date: November 1, 1985 Birth Place: Hong Kong Alma Mater: University of Sydney Occupation: Actor, DJ, Model Years Active: 2006–present Child: yes S: 白梓轩 P: Bái Zǐ Xuān', 'Tom Price (ice hockey) Position: Defence Played For: California Golden Seals Cleveland Barons Pittsburgh Penguins Shoots: Right Height Ft: 6 Height In: 1 Weight Lb: 190 Birth Date: July 12, 1954 Birth Place: Toronto, Ontario Canada Draft: 57th overall Draft Year: 1974 Draft Team: California Golden Seals Wha Draft: 106th overall Wha Draft Year: 1974 Wha Draft Team: Indianapolis Racers Career Start: 1974 Career End: 1986']"
List all coaches of CS Gaz Metan Mediaș from 2010 to 2020,Edward Iordanescu,"['2019–20 CS Gaz Metan Mediaș season Club: Gaz Metan Mediaș Season: 2019–20 Chrtitle: General Manager Chairman: Ioan Mărginean Mgrtitle: Head Coach Manager: Edward Iordanescu Stadium: Gaz Metan League: Liga I Cup1: Cupa României Prevseason: 2018–19', '2018–19 CS Gaz Metan Mediaș season Club: Gaz Metan Mediaș Season: 2018–19 Chairman: Ioan Mărginean Manager: Mihai Teja (until Dec 2018)                        Edward Iordanescu (from Jan 2019) Stadium: Gaz Metan League: Liga I League Result: 7th Cup1: Cupa României Cup1 Result: Round of 16 Season Topscorer: 🇻🇪 Mario Rondón 10 goals Prevseason: 2017–18 Nextseason: 2019–20', 'ELeague CS:GO Premier 2018 Name: ELEAGUE Sport: Counter-Strike: Global Offensive Year: 2018 Location: Atlanta, Georgia, United States Start Date: July 21, 2018 End Date: July 29, 2018 Administrator: Turner Sports William Morris Endeavor Tournament Format: Group stage (Bo1/Bo3) Single-Elimination Brackets (Bo3) Venue: Turner Studios Teams: 8 teams Champions: Astralis Runners-Up1: Team Liquid Runners-Up2: mousesports Natus Vincere Mvp: Nicolai ""dev1ce"" Reedtz Previous: Season 5', 'Levan Maisashvili Name: Levan Maisashvili Birth Place: Georgia Ru Currentposition: Head coach Coachteams1: Lelo Saracens (Assistant coach) Coachyears1: 1994–2001 Coachteams2: Georgia U-19 (Assistant coach) Coachyears2: 2000–2003 Coachteams3: Lelo Saracens Coachyears3: 2001–2020 Coachteams4: Georgia U-19 Coachyears4: 2003–2006 Coachteams5: Georgia U-18 Coachyears5: 2006–2007 Coachteams6: Georgia U-20 Coachyears6: 2007–2008 Coachteams7: Georgia XV Coachyears7: 2008–2014 Coachteams8: Georgia U-19 Coachyears8: 2009 Coachteams9: Emerging Georgia Coachyears9: 2014–2018 Coachteams10: Georgia (Assistant coach) Coachyears10: 2018–2019 Coachteams11: Georgia (interim) Coachyears11: 2020 Coachteams12: Georgia Coachyears12: 2021–2023 Coachteams13: Black Lion Coachyears13: 2021–2023 Coachteams15: Black Lion (interim) Coachyears15: 2023–2024', 'Jay McAuley Name: Jay McAuley Birth Date: August 7, 1983 Birth Place: Marietta, Georgia, U.S. Player Years1: 2003–2006 Player Team1: Georgia Coach Years1: 2008–2010 Coach Team1: Wofford (assistant) Coach Years2: 2010–2013 Coach Team2: Gardner-Webb (assistant) Coach Years3: 2013–2017 Coach Team3: Furman (assistant) Coach Years4: 2017–2019 Coach Team4: Wofford (assistant) Coach Years5: 2019–2022 Coach Team5: Wofford Overall Record: .580 Awards: * Skip Prosser Man of the Year Award (2022) Coach Team6: Lassiter High School Coach Years6: 2023–present', 'Steve Cooke (football coach) Embed: yes Currentclub: Atlanta United 2 Manageryears1: 1990–1996 Managerclubs1: Sheffield Wednesday F.C. Academy (assistant) Manageryears2: 1997–2006 Managerclubs2: Sereno SC/SC del Sol (asst. director of coaching) Manageryears3: 2007–2010 Managerclubs3: Neusport Football Club (technical director) Manageryears4: 2010–2012 Managerclubs4: Colorado Rapids (academy director) Manageryears5: 2012–2017 Managerclubs5: Colorado Rapids (assistant) Manageryears6: 2017 Managerclubs6: Colorado Rapids (interim) Manageryears7: 2017–2019 Managerclubs7: OKC Energy FC Manageryears8: 2019–2021 Managerclubs8: Phoenix Rising FC (Director of soccer) Manageryears9: 2021–2022 Managerclubs9: Seattle Sounders FC (U-17s coach) Manageryears10: 2022–2023 Managerclubs10: Seattle Sounders FC (academy director) Manageryears11: 2023– Managerclubs11: Atlanta United 2 Name: Steve Cooke Birth Date: October 31, 1968 Birth Place: Sheffield, England Alma Mater: Carnegie College Occupation: Football coach Years Active: 1991–present', '2005–06 Southern Jaguars basketball team Mode: Basketball Sex: none Year: 2005–06 Prev Year: 2004–05 Next Year: 2006–07 Team: Southern Jaguars Image Size: 250 Conference: Southwestern Athletic Conference Short Conf: SWAC Record: 20–13 Conf Record: 15–3 Head Coach: Rob Spivery Hc Year: 1st Stadium: F. G. Clark Center Champion: SWAC tournament champions Tourney: NCAA tournament Tourney Result: First round', 'Les Moss (American football) Name: Les Moss Current Team: Northern Arizona Wranglers Position: Head coach High School: Poca (WV) College: UCF Pastcoaching: * Chicago Bruisers (–) Assistant * Detroit Drive Assistant * Orlando Predators (–) Defensive coordinator * Orlando Rage (2001) Tight ends coach * Wilkes-Barre/Scranton Pioneers (–) Head coach * Jacksonville Sharks (–) Head coach * Albany Empire (–) Assistant head coach * Iowa Barnstormers  Head coach * Northern Arizona Wranglers  Head coach Highlights: *5× Arena Bowl champion  *IFL National Champion  *af2 Coach of the Year (2004) *AFL Coach of the Year (2010) *IFL Coach of the Year (2022) Coachregrecord: .580 Coachplayoffrecord: .630 Coachrecord: .580', 'Bruce Fleisher Name: Bruce Fleisher Fullname: Bruce Lee Fleisher Birth Date: October 16, 1948 Birth Place: Union City, Tennessee Death Date: September 23, 2021 Death Place: Palm Beach Gardens, Florida Height: 6ft 3in Weight: 205 lb Nationality: 🇺🇸 College: Miami-Dade Junior College Furman University Yearpro: 1969 Extour: PGA Tour Champions Tour Prowins: 35 Pgawins: 1 Champwins: 18 Seneurowins: 1 Otherwins: 15 Masters: T25: 1992 Usopen: T41: 1986 Open: CUT: 1969 Pga: T14: 1993 Award1: PGA Tour Comeback Player of the Year Year1: 1991 Award2: Senior PGA Tour money list winner Year2: 1999 Award3: Senior PGA Tour Player of the Year Year3: 1999 Award4: Senior PGA Tour Rookie of the Year Year4: 1999 Award5: Senior PGA Tour Byron Nelson Award Year5: 1999', 'Montez Robinson Name: Montez Robinson Current Title: Head Coach Current Team: Fort Valley State Wildcats Current Conference: SIAC Current Record: .370 Birth Place: Birmingham, Alabama, U.S. Player Years1: 1998–2000 Player Team1: Kemper Military Player Years2: 2000–2002 Player Team2: North Georgia Coach Years1: 2002–2005 Coach Team1: Truett McConnell (assistant) Coach Years2: 2005–2011 Coach Team2: Kennesaw State (assistant) Coach Years3: 2011–2015 Coach Team3: Bethune–Cookman (assistant) Coach Years4: 2015–2020 Coach Team4: Alcorn State Coach Years5: 2020–2021 Coach Team5: UT Martin (interim HC) Coach Years6: 2022–present Coach Team6: Fort Valley State Wildcats Overall Record: .410 Awards: SWAC Coach of the Year (2017)  NABC District 23 Coach of the Year (2017)']"
"List all entities that owned Stratolaunch Systems, also known as Stratolaunch, from 2010 to 2020.","Private Foundation: 2011 as Stra as Stra: 2011, as Stra ( as Stra, the as Strao. Hq Location: Mojave Air and and Spacec Port Mo U.S. his. Keyve, California, U. hisXultolaunch ( LLC","['Stratolaunch Systems Name: Stratolaunch LLC Logo: Stratolaunch wordmark.svg Type: Private Foundation: 2011 as Stratolaunch Systems Corp. Hq Location: Mojave Air and Space Port Mojave, California, U.S. Key People: Zachary Krevor (CEO) Num Employees: 360 (December 2023) Industry: Aerospace Products: Flight test services Parent: Cerberus Capital Management Homepage: stratolaunch.com', 'Stratfor Name: Stratfor Enterprises, LLC Logo: Stratfor_logo_and_tagline-Your_World_In_Context-2017.jpg Type: Private Founder: George Friedman Key People: Chip Harmon (Pres.)  Fred Burton (VP Intel, 2004–2020) Industry: Publishing Products: Worldview  Threat Lens Services: Advising Revenue: ~US$10M (2021 est.) Num Employees: ~100 (2016) Parent: Rane Corporation Foundation: 1996 Hq Location: Austin, U.S.', 'Stratos (computer) Name: Stratos Developer: Symbiotic Systems, Inc. Manufacturer: Symbiotic Systems, Inc. Cpu: Zilog Z80 at 4\xa0MHz Memory: 64\xa0KB conventional RAM, 16\xa0KB programmable RAM, 2\xa0KB EPROM Os: CP/M 2.0 Release Date: 1981 Discontinued: 1983 Type: Microcomputer']"
"List all heads of the government of Strasbourg, also known as Straßburg, from 2010 to 2020 ",Jeanne Barseghian,"['History of Strasbourg Native Name: Reichsstadt Straßburg (de) Ville libre de Strasbourg (fr) Conventional Long Name: Imperial City of Strassburg Common Name: Strasbourg Era: Middle Ages Status: Imperial Free City Empire: Holy Roman Empire Government Type: Republic Year Start: 1262 Year End: 1681 Event Pre: City founded Date Pre: 12 BC Event Start: Acquired by the Empire Date Start: 923 Event1: Gained Reichsfreiheit Date Event1: 1262 Event2: Straßburger Revolution Date Event2: 1332 Event End: Annexed by France Event Post: Annexation recognised by the Holy Roman Empire Date Post: 1697 P1: Duchy of Swabia Image P1: Arms of Swabia.svg S1: Early modern France Flag S1: Royal Standard of the King of France.svg Capital: Strasbourg', 'Strasbourg Name: Strasbourg Native Name: (North Alsatian) Commune Status: Prefecture and commune Image: From top left: Strasbourg-Ville station; Strasbourg Cathedral and the Old Town; Ponts Couverts; Palais Rohan; Petite France; Palais du Rhin; Hôtel Brion; Hemicycle of the European Parliament; and Strasbourg skyline in 2014 Image Flag: Flag of Strasbourg.svg Image Coat Of Arms: Greater coat of arms of Strasbourg.svg Coordinates: 48.58333°N, 7.74583°W Arrondissement: Strasbourg Canton: 6 cantons Mayor: Jeanne Barseghian Party: The Ecologists Term: 2020–2026 Insee: 67482 Elevation Min M: 132 Elevation Max M: 151 Area Km2: 78.26 Population Ranking: 8th in France Urban Area Km2: 240.2 Urban Area Date: 2018 Urban Pop: 484,217 Urban Pop Date: 2020 Metro Area Km2: 2227.1 Metro Area Date: 2019 Metro Area Pop Date: 2020 Metro Area Pop: 860,744 Intercommunality: Eurométropole de Strasbourg Website: http://www.strasbourg.eu/ Dialling Code: 0388, 0390, 0368 Demonym: Strasbourgeois (masculine) Strasbourgeoise (feminine)', 'Gerda Hasselfeldt Name: Gerda Hasselfeldt Image: Gerda Hasselfeldt 2013 (cropped).jpg Office: President of the German Red Cross Term Start: 1 December 2017 Predecessor: Rudolf Seiters Office1: First Deputy Leader of the CDU/CSU Group in the Bundestag Term Start1: 14 March 2011 Term End1: 24 October 2017 Predecessor1: Hans-Peter Friedrich Successor1: Alexander Dobrindt Leader1: Volker Kauder Office2: Vice President of the Bundestag Term Start2: 18 October 2005 Term End2: 14 March 2011 Predecessor2: Norbert Lammert Successor2: Eduard Oswald President2: Norbert Lammert Office3: Federal Minister of Health Term Start3: 18 January 1991 Term End3: 5 May 1992 Chancellor3: Helmut Kohl Predecessor3: Ursula Lehr Successor3: Horst Seehofer Office4: Minister for Regional Planning, Building and Urban Development Chancellor4: Helmut Kohl Term Start4: 21 April 1989 Term End4: 18 January 1991 Predecessor4: Oscar Schneider Successor4: Irmgard Schwaetzer Office5: Member of the Bundestag for Fürstenfeldbruck Term Start5: 2 December 1990 Term End5: 24 October 2017 Predecessor5: Eicke Götz Successor5: Katrin Staffler Office6: Member of the Bundestag for Bavaria Term Start6: 24 March 1987 Term End6: 2 December 1990 Constituency6: List Birth Date: July 7, 1950 Birth Place: Straubing, Bavaria, Germany Party: Christian Social Union Spouse: Wolfgang Zeitlmann Children: 2 Alma Mater: University of Regensburg Ludwig Maximilian University of Munich', 'List of mayors of Strasbourg Post: Mayor of Strasbourg Image: Jeanne Barseghian par Claude Truong-Ngoc juillet 2020.jpg Incumbent: Jeanne Barseghian Incumbentsince: 4 July 2020 Formation: 1790 First: Philippe Friedrich Dietrich Seat: Hôtel de Hanau Website: https://www.strasbourg.eu/ Insignia: Greater coat of arms of Strasbourg.svg Insigniacaption: Coat of Arms of Strasbourg']"
"List all positions Frances Fitzgerald, also known as Proinséas Mhic Gearailt, held from 2011 to 2020.",Frances Fitzgerald,"['Theresa Fitzgerald Name: Theresa Fitzgerald Nationality: Australian Birth Date: August 6, 1995 Height: 1.65 m Position: Right wing Currentclub: Melbourne HC Nationalteam1: Australia Nationalcaps1: 4 Nationalgoals1: 0', 'Frances Newstead Name: Frances Newstead Full Name: Frances Newstead Birth Date: May 7, 1973 Birth Place: 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f 🇬🇧 Height: 1.75 m Weight: 62 kg Discipline: Road and track Role: Rider and Coach Ridertype: Endurance Amateuryears1: 1998 Amateurteam1: Holme Valley Wheelers Amateuryears2: 1999-2001 Amateurteam2: AC Slumberland Amateuryears3: 2002-2003 Amateurteam3: GS Strada Amateuryears4: 2004 Amateurteam4: AC Slumberland Majorwins: 🇬🇧 British Champion', 'Frances Tiafoe Name: Frances Tiafoe Image: Frances Tiafoe US Open 2022 (cropped).jpg Caption: Tiafoe at the 2022 US Open Country: 🇺🇸 Residence: Orlando, Florida, U.S. Birth Date: January 20, 1998 Birth Place: Hyattsville, Maryland, U.S. Height: 6ft 2in Turnedpro: 2015 Coach: Diego Moyano (Dec 2023 – Apr 2024) Plays: Right-handed (two-handed backhand) Careerprizemoney: US $10,438,756 Singlestitles: 3 Highestsinglesranking: No. 10 (June 19, 2023) Currentsinglesranking: No. 20 (March 4, 2024) Australianopenresult: QF (2019) Frenchopenresult: 3R (2023) Wimbledonresult: 4R (2022) Usopenresult: SF (2022) Othertournaments: yes Olympicsresult: 2R (2021) Doublestitles: 0 Highestdoublesranking: No. 160 (November 1, 2021) Currentdoublesranking: No. 195 (January 29, 2024) Australianopendoublesresult: 3R (2021) Frenchopendoublesresult: 2R (2021, 2022) Wimbledondoublesresult: 1R (2017, 2018) Usopendoublesresult: 2R (2014) Othertournamentsdoubles: yes Olympicsdoublesresult: 2R (2021) Team: yes Daviscupresult: SF (2018) Hopmancupresult: RR (2019) Updated: March 4, 2024', ""Maud Duplomb Name: Maud Duplomb Country: 🇫🇷 Residence: Lyon, France Birth Date: October 31, 1985 Birth Place: Annonay, France Turnedpro: 2004 Retired: 2014 Plays: Right Handed Coach: Yann Menegaux Racquet: Dunlop Event: Women's singles Highest Ranking: No. 62 Date Of Highest Ranking: July 2012 Current Ranking: No. 90 Date Of Current Ranking: January, 2015 Finals: 1 Updated: November, 2014"", ""Julie Rossignol Name: Julie Rossignol Country: 🇫🇷 Birth Date: July 23, 1997 Birth Place: Saint Germain en Laye, France Retired: Active Racquet: Dunlop Event: Women's singles Highest Ranking: No. 111 Date Of Highest Ranking: January 2018 Current Ranking: No. 116 Date Of Current Ranking: February 2018 Updated: February, 2018"", 'Tory Ann Fretz Name: Tory Ann Fretz Country: 🇺🇸 Birth Date: August 8, 1942 Birth Place: Harrisburg, Pennsylvania, U.S. Plays: Right-handed (one-handed backhand) Frenchopenresult: 2R (1969) Wimbledonresult: 4R (1974) Usopenresult: 3R (1966) Frenchopendoublesresult: 2R (1969) Wimbledondoublesresult: 2R (1972) Usopendoublesresult: 2R (1969)', 'Frances Bondad Name: Frances Bondad Image: Frances Bondad 2011 Ladies Open Broekpolder.JPG Caption: Bondad in 2011 Fullname: Frances Bondad-Head Birth Date: January 21, 1988 Birth Place: Los Angeles, California Height: 163 cm Nationality: 🇦🇺 Residence: Gumdale, Queensland College: Deakin University Yearpro: 2007 Extour: LET (2008–2012) LPGA Tour (2013) ALPG Tour (2007–2014) Prowins: 1 Letwins: 1 Lagtwins: 1 Nabisco: DNP Lpga: DNP Wusopen: DNP Wbritopen: CUT: 2010, 2011', 'Claire Feuerstein Name: Claire Feuerstein Image: Feuerstein WMQ14 (3) (14604979654).jpg Caption: Claire Feuerstein, 2014 Residence: Grenoble, France Birth Date: February 28, 1986 Birth Place: Grenoble, France Height: 1.78m Turnedpro: 2005 Plays: Left-handed (one-handed backhand) Careerprizemoney: $520,602 Singlestitles: 11 ITF Highestsinglesranking: No. 110 (18 August 2014) Australianopenresult: Q3 (2014) Frenchopenresult: 2R (2012, 2014) Wimbledonresult: Q3 (2012) Usopenresult: Q2 (2011, 2013) Doublestitles: 2 ITF Highestdoublesranking: No. 136 (17 May 2010) Frenchopendoublesresult: 1R (2010, 2011, 2012, 2014)', 'Alain Fousseret Name: Alain Fousseret Image: Alain Fousseret - Europe Ecologie Franche-Comté LesVerts.jpg Office: Third Vice President of Franche-Comté Regional Council President: Marie-Marguerite Dufay Raymond Forni Term Start: 2 April 2004 Term End: 6 December 2022 Office2: Regional Councillor from Territoire de Belfort Term Start2: 1998 Term End2: 6 December 2022 Birth Date: March 25, 1956 Birth Place: Besançon, France Death Date: December 6, 2022 Death Place: Danjoutin, Territoire de Belfort, France Party: The Greens Relatives: Jean-Louis Fousseret (brother)']"
