question,response
"List all sports teams Juan Cuadrado, also known as Juan Guillermo Cuadrado Bello, played for from 2010 to 2020.",Colombia national football team
"List all political parties Rachel Carling-Jenkins, also known as Rachel Carling, was a member of from 2010 to 2018.",Conservative Party
List all coaches of CD Tondela from 2015 to 2020,"Afonso de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José Carlos de Sousa, José"
"List all positions Brian Cowen, also known as Brian Bernard Cowen, held from 2010 to 2011.",Minister for the Environment
"List all political parties Ovidiu Silaghi, also known as Ovidiu Ioan Silaghi, was a member of from 2010 to 2020.",Romanian Democratic Party
List all sports teams Kostas Manolas played for from 2010 to 2020.,Kostas Manolas
"List all heads of the government of Bremen, also known as City Municipality of Bremen, from 2010 to 2020 ","List of heads of the government of Bremen, also known as City Municipality of Bremen, from 2010 to 2020"
List all employers Luciano Onder worked for from 2010 to 2020.,Universidad de Chile
"List all chairpersons of Ministry of Employment and Labor, also known as MOEL, from 2010 to 2020","List of chairpersons of Ministry of Employment and Labor, also known as MOEL, from 2010 to 2020"
"List all coaches of FC Petrolul Ploiești, also known as Petrolul Ploiesti, from 2010 to 2020","List all coaches of FC Petrolul Ploiești, also known as Petrolul Ploiesti from 2010 to 2020"
List all sports teams Jonathan Mensah played for from 2010 to 2020.,Ghana national football team
List all employers Angela Casini worked for from 2010 to 2020.,Angela Casini
"List all positions François Hollande, also known as Hollande, held from 2012 to 2017.",President of France
"List all sports teams Darren Fletcher, also known as Darren Barr Fletcher, played for from 2010 to 2020.",Darren Fletcher Darren Fletcher (born Darren Barr Fletcher) is a Scottish professional footballer who plays for Scottish Premier League club Celtic.
List all educational institutions Charles Davis attended from 2010 to 2016.,Charles Davis attended the University of Texas at Austin
List all entities that owned Lausanne HC from 2020 to 2020.,Lausanne HC
"List all positions Michel Temer, also known as Michel Miguel Elias Temer Lulia, held from 2011 to 2019.",President of Brazil
"List all employers S. Somasegar, also known as Soma Somasegar, worked for from 2010 to 2020.","Somasegar, Somasegar"
"List all employers Doug Shane, also known as Douglas B. Shane, worked for from 2010 to 2020.",United States Department of Agriculture
"List all employers Greg Woolf, also known as Gregory Duncan Woolf, worked for from 2010 to 2020.",Woolf
"List all educational institutions Jordan Nwora, also known as Jordan Ifeanyi Nwora, attended from 2010 to 2020.","University of Nigeria, Nsukka"
List all political parties Mario Mauro was a member of from 2010 to 2020.,Democratic Party
"List all sports teams Michael Hussey, also known as 'Mr Cricket'., played for from 2010 to 2016.",South Africa national cricket team
"List all political parties Bill Weld, also known as William F. Weld, was a member of from 2010 to 2020.",Democratic Party
"List all political parties Kateřina Jacques, also known as Katerina Jacques, was a member of from 2010 to 2020.",Czechoslovak People's Party
"List all sports teams Eiji Kawashima, also known as Kawashima Eiji, played for from 2010 to 2020.",Tokyo Gakuen
"List all employers Melania Cristescu, also known as Melania E Cristescu, worked for from 2010 to 2020.",Romanian National Bank
"List all coaches of Birkirkara F.C., also known as Birkirkara FC, from 2017 to 2020",Birkirkara F.C.
"List all employers Eric Jagielo, also known as Jagielo, Eric Stephan, worked for from 2010 to 2020.","Eric Jagielo, also known as Jagielo, Eric Stephan"
"List all sports teams Nick Swisher, also known as Nicolas Thompson Swisher, played for from 2010 to 2020.",New York Mets
"List all sports teams Darwin Quintero, also known as Carlos Quintero, played for from 2010 to 2020.",Los Angeles Galaxy
"List all positions François Lecointre, also known as General François Lecointre, held from 2016 to 2020.",General
"List all coaches of Vitória S.C., also known as Vitória de Guimâraes, from 2015 to 2020",Vitória S.C.
"List all coaches of U.C. Trevigiani Energiapura Marchiol, also known as Unieuro Trevigiani-Hemus 1896, from 2012 to 2020","List all coaches of U.C. Trevigiani Energiapura Marchiol, also known as Unieuro Trevigiani-Hemus 1896, from 2012 to 2020"
"List all coaches of Silkeborg IF, also known as Silkeborg Idrætsforening, from 2015 to 2020",Silkeborg IF
"List all chairpersons of Roman Catholic Archdiocese of Cardiff, also known as Archdiocese of Cardiff, from 2010 to 2020",Archbishop of Cardiff
"List all coaches of Qhubeka Assos, also known as Dimension Data, from 2015 to 2020",2015-2020
List all employers Billy Hill and the Hillbillies worked for from 2010 to 2020.,Billy Hill and the Hillbillies
List all entities that owned Jæren Line from 2010 to 2020.,Jren Line
List all employers Christophe Dessimoz worked for from 2011 to 2020.,Ligue 1
"List all chairpersons of Bank of Italy, also known as Bankitalia, from 2010 to 2020","List of chairpersons of Bank of Italy, also known as Bankitalia, from 2010 to 2020"
"List all coaches of K.V. Kortrijk, also known as Koninklijke Voetbalclub Kortrijk, from 2015 to 2020","K.V. Kortrijk, also known as Koninklijke Voetbalclub Kortrijk, 2015–2020"
"List all positions Arayik Harutyunyan, also known as Arayik Vladimiri Harutyunyan, held from 2010 to 2020.",Arayik Harutyunyan
List all coaches of NK Domžale from 2016 to 2020,ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivota ivo
"List all heads of the government of Nantes, also known as Naoned, from 2012 to 2020 ","Nicolas Sarkozy, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault,"
"List all chairpersons of International Olympic Committee, also known as IOC, from 2010 to 2020","Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas Bach, Thomas"
"List all coaches of FC Botoșani, also known as Fotbal Club Botoșani, from 2014 to 2020",tefan igănescu
"List all coaches of Brighton & Hove Albion F.C., also known as Brighton and Hove Albion F.C., from 2014 to 2020",Chris Hughton Chris Hughton
List all positions Elio Di Rupo held from 2010 to 2020.,Mayor of Rome
"List all employers Paul P. Glasziou, also known as Paul Glasziou, worked for from 2010 to 2020.",Paul Glasziou
List all employers Rupert Sutherland worked for from 2010 to 2020.,
"List all sports teams Andrea Pirlo, also known as Andrea Pirlo Escaleto, played for from 2010 to 2020.",Juventus F.C.
"List all sports teams David Luiz, also known as David Luiz Moreira Marinho, played for from 2010 to 2020.",Brazil national football team
List all educational institutions Evgeny Konnov attended from 2010 to 2020.,Evgeny Konnov
"List all employers David Mba, also known as David U. Mba, worked for from 2010 to 2020.","David Mba, also known as David U. Mba, worked for the following employers:"
"List all employers Deborah A. Cobb-Clark, also known as Deborah Cobb-Clark, worked for from 2016 to 2020.",United States Department of State
"List all sports teams Adam Lallana, also known as Adam David Lallana, played for from 2010 to 2020.",Manchester United
"List all sports teams Alexis Sánchez, also known as Alexis Alejandro Sánchez Sánchez, played for from 2010 to 2020.",Barcelona
"List all positions Matti Vanhanen, also known as Matti Taneli Vanhanen, held from 2010 to 2020.",President of the Parliament of Finland
"List all political parties Rabi Narayan Pani, also known as Ravi Narayan Pani, was a member of from 2010 to 2020.",Aam Aadmi Party
"List all entities that owned VK, also known as vk.com, from 2010 to 2014.",VK.com
"List all political parties Yuriko Koike, also known as Koike Yuriko, was a member of from 2010 to 2020.",Democratic Party of Japan
"List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020","List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020"
List all employers Peter Scholze worked for from 2011 to 2020.,Peter Scholze
List all employers Susanne Ås Sivborg worked for from 2010 to 2020.,rsted
"List all employers Ann Sarnoff, also known as Ann M. Sarnoff, worked for from 2010 to 2019.","Ann Sarnoff, also known as Ann M. Sarnoff, worked for the following employers:"
"List all employers Michael Hout, also known as Mike Hout, worked for from 2010 to 2020.","Hout, Michael"
"List all heads of the government of Guinea, also known as Guinea-Conakry, from 2010 to 2020 ","Nicolas Sarkozy, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Bozizé, François Boziz"
"List all employers Linda Bauld, also known as Linda C. Bauld, worked for from 2014 to 2020.",
"List all coaches of PSV Eindhoven, also known as Philips Sport Vereniging, from 2013 to 2020","List all coaches of PSV Eindhoven, also known as Philips Sport Vereniging, from 2013 to 2020"
List all employers Pedro J. Ramírez worked for from 2010 to 2020.,
"List all positions Charles Falconer, Baron Falconer of Thoroton, also known as Charles Falconer, held from 2015 to 2020.",Lord Falconer of Thoroton
"List all coaches of SSU Politehnica Timișoara, also known as SS Politehnica Timișoara, from 2010 to 2019","List all coaches of SSU Politehnica Timișoara, also known as SS Politehnica Timișoara, from 2010 to 2019"
List all entities that owned Portrait of Professor Benjamin H. Rand from 2010 to 2020.,University of Chicago
List all employers Oded Aharonson worked for from 2010 to 2020.,Oded Aharonson
"List all positions Damian Green, also known as Damian Howard Green, held from 2010 to 2017.",Member of Parliament
List all positions Jiang Yi-huah held from 2012 to 2014.,President of the Republic of China
"List all coaches of FC Shakhtar Donetsk, also known as Shakhtar Donetsk, from 2016 to 2020","List of coaches of FC Shakhtar Donetsk, also known as Shakhtar Donetsk from 2016 to 2020"
"List all coaches of FC Bayern Munich, also known as Bayern Munich, from 2010 to 2020","Josef Bican, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pep Guardiola, Pe"
List all employers Lina Zahr Eddine worked for from 2010 to 2019.,Lina Zahr Eddine
List all political parties Stéphane Trompille was a member of from 2010 to 2020.,Stéphane Trompille was a member of the Socialist Party of France from 2010 to 2020.
"List all positions Yehiel Bar, also known as Hilik Bar, held from 2010 to 2020.","Yehiel Bar, also known as Hilik Bar, was a member of the Knesset from 2010 to 2020."
"List all heads of the government of Tehran, also known as Teheran, from 2017 to 2020 ",Amir-Hossein Mousavi
List all educational institutions Yves Pons attended from 2010 to 2020.,École nationale supérieure des hautes études en sciences naturelles
List all employers Elaine Fox worked for from 2010 to 2020.,Elaine Fox
"List all positions Chris Huhne, also known as Christopher Murray Paul-Huhne, held from 2010 to 2012.",Minister for Transport
"List all employers Brian Wecht, also known as Ninja Brian, worked for from 2010 to 2015.",WWE
"List all political parties Lluís Puig i Gordi, also known as Lluís Puig, was a member of from 2010 to 2020.",Catalan Independence Party
List all positions László Kövér held from 2010 to 2020.,Minister of Justice
"List all positions Angela Rayner, also known as Angela Bowen, held from 2016 to 2020.",Angela Rayner
"List all sports teams Mario Balotelli, also known as Mario Balotelli Barwuah, played for from 2010 to 2020.","Serie A, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan, AC Milan,"
"List all positions Bård Hoksrud, also known as Bård André Hoksrud, held from 2013 to 2019.","Brd Hoksrud was elected to the Norwegian Parliament as a Democrat on May 3, 2013, replacing Bjrn Knudsen."
"List all coaches of AC Sparta Prague, also known as Sparta Prague, from 2012 to 2020","A.C. Sparta Prague, also known as Sparta Prague, is a Czech professional football club based in Prague."
"List all political parties Andris Bērziņš, also known as Andris Berzins, was a member of from 2010 to 2020.",Andris Brzi
"List all chairpersons of Ministry of Internal Affairs of Ukraine, also known as Ministry of Internal Affairs, from 2010 to 2020","Yuriy Yatsenyuk, Olexander Kostyantyn, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Yatsenyuk, Olexander Ya"
"List all heads of the government of Hamburg, also known as Free and Hanseatic City of Hamburg, from 2010 to 2020 ","List of heads of the government of Hamburg, also known as Free and Hanseatic City of Hamburg, from 2010 to 2020"
"List all positions Kevin Cramer, also known as Kevin John Cramer, held from 2013 to 2020.","Cramer, Kevin John"
"List all positions Viktor Yanukovych, also known as Viktor Yanukovich, held from 2010 to 2014.",President of the Ukrainian Parliament
"List all political parties Jordi Turull i Negre, also known as Jordi Turull, was a member of from 2010 to 2020.",Jordi Turull i Negre
"List all employers Kristen L. Knutson, also known as Kristen Knutson, worked for from 2010 to 2020.",University of Minnesota
"List all educational institutions Tyler Dorsey, also known as Tyler Quincy Dorsey, attended from 2011 to 2017.",University of Alabama
List all employers Carenza Lewis worked for from 2010 to 2020.,Carenza Lewis
"List all coaches of Louisville City FC, also known as Lou City, from 2014 to 2020","Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin Stadler, Kevin"
List all positions Édouard Philippe held from 2010 to 2020.,Édouard Philippe
List all coaches of Vasas SC from 2019 to 2020,Vasas SC
List all positions Ludovic Orban held from 2017 to 2020.,Prime Minister of Hungary
List all coaches of Odense Boldklub from 2015 to 2020,Odense Boldklub
List all political parties Janne Haaland Matlary was a member of from 2010 to 2020.,Janne Haaland Matlary was a member of the Social Democratic Party of Norway (SDP) from 2010 to 2020.
"List all employers Zena Kamash, also known as Z. Kamash, worked for from 2010 to 2020.",NBC
"List all entities that owned Machinima, Inc. from 2016 to 2019.","Machinima, Inc."
"List all positions Hu Jintao, also known as Hu Jin Tao, held from 2010 to 2013.",President of China
"List all heads of the government of Budapest District I, also known as Várkerület, from 2010 to 2020 ","List of heads of the government of Budapest District I, also known as Várkerület, from 2010 to 2020"
List all sports teams Bastian Schweinsteiger played for from 2010 to 2020.,Bayern Munich
"List all heads of the government of Rio Grande do Sul, also known as RS, from 2010 to 2020 ","José Eduardo dos Santos, José Eduardo dos Santos"
List all positions Selina Meyer held from 2010 to 2016.,Selina Meyer
"List all positions Chang San-cheng, also known as Zhang Shanzheng, held from 2014 to 2016.",President of the People's Republic of China
List all political parties Manuel Delgado Ruiz was a member of from 2010 to 2015.,PRI
