question,response,examples
"List all sports teams Bojan Krkić, also known as Bojan Krkić Pérez, played for from 2010 to 2020.","Bojan Krki (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Bojan Krki (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Bojan Krki (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all sports teams Alexander Kačaniklić played for from 2010 to 2020.
  Answer: Fulham F.C. (2010, 2011, 2012, 2013); Watford F.C. (2012); Sweden national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Burnley F.C. (2013); F.C. Copenhagen (2014)
Example:
  Question: List all sports teams Toni Kroos played for from 2010 to 2020.
  Answer: Bayer 04 Leverkusen (2010); Germany national association football team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); FC Bayern Munich (2010, 2011, 2012, 2013, 2014); Real Madrid CF (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Zoumana Bakayogo played for from 2010 to 2020.
  Answer: Tranmere Rovers F.C. (2010, 2011, 2012, 2013); Leicester City F.C. (2013, 2014, 2015); Luton Town F.C. (2014); Yeovil Town F.C. (2014); Crewe Alexandra F.C. (2016, 2017, 2018, 2019, 2020)"
List all political parties Catherine Dorion was a member of from 2011 to 2020.,"Democratic Party (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Democratic Party (2020); Democratic Party (2020); Democratic Party (2020)","Example:
  Question: List all political parties Catherine Osson was a member of from 2010 to 2020.
  Answer: Socialist Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Renaissance (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Sylvie Goulard was a member of from 2010 to 2020.
  Answer: Democratic Movement (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Renaissance (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Stéphanie Atger was a member of from 2010 to 2020.
  Answer: Socialist Party (2010, 2011, 2012, 2013, 2014); Renaissance (2016, 2017, 2018, 2019, 2020)"
List all political parties Manu Sareen was a member of from 2010 to 2018.,"Manu Sareen (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Manu Sareen (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all political parties Timothy Masiu was a member of from 2010 to 2020.
  Answer: People's Progress Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); National Alliance Party (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Usman Buzdar, also known as Sardar Usman Ahmad Khan Buzdar, was a member of from 2010 to 2020.
  Answer: Pakistan Muslim League (Q) (2010, 2011); Pakistan Muslim League (N) (2013, 2014, 2015, 2016, 2017, 2018); Pakistan Tehreek-e-Insaf (2018, 2019, 2020)
Example:
  Question: List all political parties Kameshwar Baitha was a member of from 2010 to 2020.
  Answer: Jharkhand Mukti Morcha (2010, 2011, 2012, 2013, 2014); All India Trinamool Congress (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Nowoczesna, also known as Modern Poland, from 2015 to 2020","adni adni (2015, 2016, 2017, 2018, 2019, 2020); adni adni (2020)","Example:
  Question: List all chairpersons of Polish People's Party from 2012 to 2020
  Answer: Janusz Piechociński (2012, 2013, 2014, 2015); Władysław Kosiniak-Kamysz (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all chairpersons of Embassy of Ukraine, Warsaw from 2010 to 2020
  Answer: Olexander Motsyk (2010); Andriy Deshchytsya (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all chairpersons of Embassy of Poland, Rome from 2018 to 2020
  Answer: Konrad Głębocki (2018); Anna Maria Anders (2019, 2020)"
List all positions Michel Spiro held from 2010 to 2020.,"President of the United States (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States Secretary of State (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States Secretary of State (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions Jean-Michel Leniaud held from 2011 to 2020.
  Answer: director (2011, 2012, 2013, 2014, 2015, 2016); president (2017, 2018, 2019, 2020)
Example:
  Question: List all positions Horst Köhler held from 2010 to 2020.
  Answer: president of Germany (2010); adviser (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Giorgio Napolitano held from 2010 to 2020.
  Answer: President of Italy (2010, 2011, 2012, 2013, 2014, 2015); Italian senator for life (2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Andrew Scheer, also known as Andrew James Scheer, held from 2011 to 2020.","Deputy Secretary of State for the Environment (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Assistant Secretary of State for the Environment (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Assistant Secretary of State for Energy and Climate Change (2020)","Example:
  Question: List all positions Martin Schulz held from 2010 to 2017.
  Answer: parliamentary group leader (2010, 2011, 2012, 2014); member of the European Parliament (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); President of the European Parliament (2012, 2013, 2014, 2015, 2016, 2017)
Example:
  Question: List all positions Robert Wexler, also known as Robert Ira Wexler, held from 2010 to 2020.
  Answer: diplomat (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States representative (2010)
Example:
  Question: List all positions Andrew Mitchell, also known as Andrew John Bower Mitchell, held from 2010 to 2012.
  Answer: Secretary of State for International Development (2010, 2011, 2012); Shadow Secretary of State for International Development (2010); Parliamentary Secretary to the Treasury (2012)"
"List all coaches of Gap Connah's Quay F.C., also known as Connah's Quay Nomads F.C., from 2010 to 2020","Gap Connah's Quay F.C. (2010, 2011, 2012, 2013, 2014); Gap Connah's Quay F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Gap Connah's Quay F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all coaches of University College Dublin A.F.C. from 2010 to 2020
  Answer: Martin Russell (2010, 2011, 2012, 2013, 2014); Andrew Myler (2020)
Example:
  Question: List all coaches of Cardiff City F.C., also known as Cardiff City Football Club, from 2014 to 2020
  Answer: Ole Gunnar Solskjær (2014); Neil Warnock (2016, 2017, 2018, 2019); Neil Harris (2019, 2020)
Example:
  Question: List all coaches of Girona FC, also known as Girona Futbol Club, S.A.D., from 2018 to 2020
  Answer: Eusebio Sacristán (2018, 2019); José Luis Martí (2019, 2020)"
List all coaches of Gabala FC from 2014 to 2020,"Gabala FC (2014, 2015, 2016, 2017, 2018, 2019, 2020); Yuri Puntus (2014, 2015, 2016, 2017, 2018, 2019, 2020); Yuri Puntus (2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all coaches of FC Baranovichi from 2016 to 2020
  Answer: Andrey Hlebasolaw (2016, 2019, 2020); Aleksey Vergeyenko (2017)
Example:
  Question: List all coaches of FC Liefering from 2015 to 2020
  Answer: Thomas Letsch (2015, 2016, 2017); Janusz Góra (2017, 2018, 2019); Gerhard Struber (2018, 2019); Michael Feichtenbeiner (2019); Bo Svensson (2019, 2020)
Example:
  Question: List all coaches of FC Slavia-Mozyr from 2010 to 2020
  Answer: Yury Maleyew (2010, 2011, 2012, 2013, 2014); Yuri Puntus (2014, 2015, 2016, 2017); Mihail Martsinovich (2017, 2018, 2019, 2020)"
List all employers Jada Benn Torres worked for from 2010 to 2020.,"Jada Benn Torres (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Jada Benn Torres (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Jennifer MacLean worked for from 2010 to 2019.
  Answer: 38 Studios (2010, 2011, 2012); International Game Developers Association (2017, 2018, 2019)
Example:
  Question: List all employers Jessica Ramos worked for from 2010 to 2017.
  Answer: Service Employees International Union (2010, 2011, 2012, 2013, 2014); government of New York City (2015, 2016, 2017)
Example:
  Question: List all employers Lauren Kiyomi Williams worked for from 2010 to 2020.
  Answer: University of California, Berkeley (2010, 2011, 2012, 2013, 2014, 2015, 2016); Harvard University (2018, 2019, 2020)"
"List all positions Dominique Mamberti, also known as Dominique François Joseph Mamberti, held from 2010 to 2020.","President of the European Parliament (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of Foreign Affairs (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of Foreign Affairs (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of Foreign Affairs (2010, 2018, 2019, 2020); Minister of Foreign Affairs (2020)","Example:
  Question: List all positions Patrick Leahy, also known as Patrick Joseph Leahy, held from 2010 to 2020.
  Answer: United States senator (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); President pro tempore of the United States Senate (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Joseph Daul, also known as Joseph Alexander Daul, held from 2010 to 2020.
  Answer: member of the European Parliament (2010, 2011, 2012, 2013, 2014); chairperson (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Jean-Michel Leniaud held from 2011 to 2020.
  Answer: director (2011, 2012, 2013, 2014, 2015, 2016); president (2017, 2018, 2019, 2020)"
"List all chairpersons of Pakistani Taliban, also known as Tehreek-e-Taliban-e-Pakistan, from 2010 to 2020","Pakistani Taliban (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Pakistani Taliban (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Pakistani Taliban (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all chairpersons of Markazi Jamiat Ahle Hadith Pakistan, also known as MJAH, from 2010 to 2020
  Answer: Ehsan Elahi Zaheer (2010, 2011, 2012, 2013, 2014); Sajid Mir (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all chairpersons of Democratic Party of Turkmenistan from 2010 to 2020
  Answer: Gurbanguly Berdimuhamedow (2010, 2011, 2012, 2013); Ata Serdarow (2018, 2019, 2020)
Example:
  Question: List all chairpersons of Atlantik-Brücke from 2010 to 2020
  Answer: Friedrich Merz (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Sigmar Gabriel (2019, 2020)"
"List all positions Giorgos Papandreou, also known as George Andreas Papandreou, held from 2010 to 2011.","President of the Republic of Macedonia (2010, 2011, 2012); President of the Republic of Macedonia (2010, 2011, 2012); President of the Republic of Macedonia (2011, 2012); President of the Republic of Macedonia (2011, 2012); President of the Republic of Macedonia (2012, 2013, 2014); President of the Republic of Macedonia (2013, 2014); President of the Republic of Macedonia (2013, 2014); President of the Republic of Macedonia (2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions Loukas Papademos, also known as Loukas Papadimos, held from 2010 to 2012.
  Answer: vice president (2010); Prime Minister of Greece (2011, 2012)
Example:
  Question: List all positions Édouard Guillaud held from 2010 to 2014.
  Answer: Chief of the Military Staff of the President of the Republic (2010); Chief of Staff of the Armed Forces (2010, 2011, 2012, 2013, 2014)
Example:
  Question: List all positions Matteo Salvini held from 2010 to 2019.
  Answer: member of the European Parliament (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); council member (2010, 2011, 2012); party leader (2012, 2013, 2014, 2015); Vice President of the Council of Ministers of Italy (2018, 2019)"
List all coaches of FC Belshina Bobruisk from 2010 to 2020,"FC Belshina Bobruisk (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); FC Belshina Bobruisk (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all coaches of FC Liefering from 2015 to 2020
  Answer: Thomas Letsch (2015, 2016, 2017); Janusz Góra (2017, 2018, 2019); Gerhard Struber (2018, 2019); Michael Feichtenbeiner (2019); Bo Svensson (2019, 2020)
Example:
  Question: List all coaches of FC Baranovichi from 2016 to 2020
  Answer: Andrey Hlebasolaw (2016, 2019, 2020); Aleksey Vergeyenko (2017)
Example:
  Question: List all coaches of FC Krasnodar from 2010 to 2020
  Answer: Slavoljub Muslin (2010, 2011, 2012, 2013); Murad Musayev (2018, 2019, 2020); Oleg Fomenko (2018)"
List all entities that owned The Buteman from 2010 to 2019.,"The Buteman (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); The Buteman (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); The Buteman (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all entities that owned Ruptly from 2010 to 2020.
  Answer: RT (2010, 2011, 2012, 2013); Rossiya Segodnya (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all entities that owned Intourist from 2010 to 2020.
  Answer: Sistema (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Thomas Cook Group (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all entities that owned Duracell from 2010 to 2020.
  Answer: Procter & Gamble (2010, 2011, 2012, 2013, 2014); Berkshire Hathaway (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Hilary Parker, also known as Hilary S. Parker, worked for from 2010 to 2020.","Hilary Parker (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Hilary Parker (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Allison Randal worked for from 2010 to 2020.
  Answer: Canonical Group Limited (2010, 2011, 2012); Hewlett-Packard (2014, 2015, 2016, 2017); SUSE (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Dominique Kalifa worked for from 2010 to 2020.
  Answer: Sciences Po (2010, 2011, 2012, 2013, 2014, 2015); University of Paris 1 Pantheon-Sorbonne (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Marie Gil worked for from 2013 to 2020.
  Answer: Collège international de philosophie (2013, 2014, 2015, 2016, 2017, 2018, 2019); classe préparatoire aux grandes écoles (2016, 2017, 2018, 2019, 2020)"
"List all political parties Álvaro Uribe Vélez, also known as Álvaro Uribe, was a member of from 2010 to 2020.","lvaro Uribe (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); lvaro Uribe (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all political parties Gustavo Petro, also known as Gustavo Petro Urrego, was a member of from 2010 to 2020.
  Answer: Alternative Democratic Pole (2010); Movimiento Progresistas (izquierda) (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Verónika Mendoza, also known as Vero, was a member of from 2010 to 2020.
  Answer: Peruvian Nationalist Party (2010, 2011, 2012); Broad Front (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Gabriela Rivadeneira, also known as Gabriela Alejandra Rivadeneira Burbano, was a member of from 2010 to 2020.
  Answer: PAIS Alliance (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Citizen Revolution Movement (2018, 2019, 2020)"
