question,response
List all sports teams Sam Tomkins played for from 2010 to 2020.,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Juan Cuadrado, also known as Juan Guillermo Cuadrado Bello, played for from 2010 to 2020.","Juan Cuadrado (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Rachel Carling-Jenkins, also known as Rachel Carling, was a member of from 2010 to 2018.","The Liberal Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of CD Tondela from 2015 to 2020,"2015, 2016, 2017, 2018, 2019, 2020"
"List all positions Brian Cowen, also known as Brian Bernard Cowen, held from 2010 to 2011.","Brian Cowen (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Ovidiu Silaghi, also known as Ovidiu Ioan Silaghi, was a member of from 2010 to 2020.","Partidul Comunist (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Kostas Manolas played for from 2010 to 2020.,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Bremen, also known as City Municipality of Bremen, from 2010 to 2020 ","Präsident (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Luciano Onder worked for from 2010 to 2020.,"Università di San Giorgio, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna, University of Bologna,"
"List all chairpersons of Ministry of Employment and Labor, also known as MOEL, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Petrolul Ploiești, also known as Petrolul Ploiesti, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Jonathan Mensah played for from 2010 to 2020.,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Angela Casini worked for from 2010 to 2020.,"Angela Casini (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions François Hollande, also known as Hollande, held from 2012 to 2017.","François Hollande (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Darren Fletcher, also known as Darren Barr Fletcher, played for from 2010 to 2020.","Darren Fletcher (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all educational institutions Charles Davis attended from 2010 to 2016.,"Charles Davis (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Lausanne HC from 2020 to 2020.,HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020); HC Lausanne (2020)
"List all positions Michel Temer, also known as Michel Miguel Elias Temer Lulia, held from 2011 to 2019.","Michel Temer (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers S. Somasegar, also known as Soma Somasegar, worked for from 2010 to 2020.","The Indian Institute of Technology, Bangalore (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Doug Shane, also known as Douglas B. Shane, worked for from 2010 to 2020.","Doug Shane (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Greg Woolf, also known as Gregory Duncan Woolf, worked for from 2010 to 2020.","Greg Woolf (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all educational institutions Jordan Nwora, also known as Jordan Ifeanyi Nwora, attended from 2010 to 2020.","Jordan Nwora (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Mario Mauro was a member of from 2010 to 2020.,"Democrat Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Michael Hussey, also known as 'Mr Cricket'., played for from 2010 to 2016.","Michael Hussey (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Bill Weld, also known as William F. Weld, was a member of from 2010 to 2020.","Bill Weld (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Kateřina Jacques, also known as Katerina Jacques, was a member of from 2010 to 2020.","Jacques (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Eiji Kawashima, also known as Kawashima Eiji, played for from 2010 to 2020.","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Melania Cristescu, also known as Melania E Cristescu, worked for from 2010 to 2020.",Compania Naţională de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración de Administración
"List all coaches of Birkirkara F.C., also known as Birkirkara FC, from 2017 to 2020",2017; 2018; 2019; 2020
"List all employers Eric Jagielo, also known as Jagielo, Eric Stephan, worked for from 2010 to 2020.","The New York Yankees (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Nick Swisher, also known as Nicolas Thompson Swisher, played for from 2010 to 2020.","Nick Swisher (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Darwin Quintero, also known as Carlos Quintero, played for from 2010 to 2020.","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions François Lecointre, also known as General François Lecointre, held from 2016 to 2020.","François Lecointre (2016, 2017, 2018, 2019, 2020)"
"List all coaches of Vitória S.C., also known as Vitória de Guimâraes, from 2015 to 2020","2015, 2016, 2017, 2018, 2019, 2020"
"List all coaches of U.C. Trevigiani Energiapura Marchiol, also known as Unieuro Trevigiani-Hemus 1896, from 2012 to 2020","2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
"List all coaches of Silkeborg IF, also known as Silkeborg Idrætsforening, from 2015 to 2020","2015, 2016, 2017, 2018, 2019, 2020"
"List all chairpersons of Roman Catholic Archdiocese of Cardiff, also known as Archdiocese of Cardiff, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Qhubeka Assos, also known as Dimension Data, from 2015 to 2020","2015, 2016, 2017, 2018, 2019, 2020"
List all employers Billy Hill and the Hillbillies worked for from 2010 to 2020.,"Billy Hill and the Hillbillies (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Jæren Line from 2010 to 2020.,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Christophe Dessimoz worked for from 2011 to 2020.,"Société Générale (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Bank of Italy, also known as Bankitalia, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of K.V. Kortrijk, also known as Koninklijke Voetbalclub Kortrijk, from 2015 to 2020","2015, 2016, 2017, 2018, 2019, 2020"
"List all positions Arayik Harutyunyan, also known as Arayik Vladimiri Harutyunyan, held from 2010 to 2020.","Arayik Harutyunyan (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of NK Domžale from 2016 to 2020,"2016 (2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Nantes, also known as Naoned, from 2012 to 2020 ","François-Marie Lefèvre (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of International Olympic Committee, also known as IOC, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Botoșani, also known as Fotbal Club Botoșani, from 2014 to 2020","2014, 2015, 2016, 2017, 2018, 2019, 2020"
"List all coaches of Brighton & Hove Albion F.C., also known as Brighton and Hove Albion F.C., from 2014 to 2020","2014, 2015, 2016, 2017, 2018, 2019, 2020"
List all positions Elio Di Rupo held from 2010 to 2020.,"Deputy Minister of Health (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Paul P. Glasziou, also known as Paul Glasziou, worked for from 2010 to 2020.","Paul P. Glasziou (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Rupert Sutherland worked for from 2010 to 2020.,"The Royal Institute of British Architects (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Andrea Pirlo, also known as Andrea Pirlo Escaleto, played for from 2010 to 2020.","Andrea Pirlo (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams David Luiz, also known as David Luiz Moreira Marinho, played for from 2010 to 2020.","David Luiz (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all educational institutions Evgeny Konnov attended from 2010 to 2020.,"Universitas Kazan (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers David Mba, also known as David U. Mba, worked for from 2010 to 2020.","David Mba (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Deborah A. Cobb-Clark, also known as Deborah Cobb-Clark, worked for from 2016 to 2020.","The New York Times (2016, 2017, 2018, 2019, 2020)"
"List all sports teams Adam Lallana, also known as Adam David Lallana, played for from 2010 to 2020.","Adam Lallana (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Alexis Sánchez, also known as Alexis Alejandro Sánchez Sánchez, played for from 2010 to 2020.","Alexis Sánchez (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Matti Vanhanen, also known as Matti Taneli Vanhanen, held from 2010 to 2020.","Deputy Minister of Health (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Rabi Narayan Pani, also known as Ravi Narayan Pani, was a member of from 2010 to 2020.","BJP (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all entities that owned VK, also known as vk.com, from 2010 to 2014.","The New York Times (2010, 2011, 2012, 2013, 2014); The New York Times (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Yuriko Koike, also known as Koike Yuriko, was a member of from 2010 to 2020.","Yokohama City Council (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020","lvaro Alves (2018, 2019, 2020)"
List all employers Peter Scholze worked for from 2011 to 2020.,"Peter Scholze (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Susanne Ås Sivborg worked for from 2010 to 2020.,"rebro (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Ann Sarnoff, also known as Ann M. Sarnoff, worked for from 2010 to 2019.","The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Michael Hout, also known as Mike Hout, worked for from 2010 to 2020.","Michael Hout (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Guinea, also known as Guinea-Conakry, from 2010 to 2020 ","The President of Guinea (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Linda Bauld, also known as Linda C. Bauld, worked for from 2014 to 2020.","The New York City Fire Department (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of PSV Eindhoven, also known as Philips Sport Vereniging, from 2013 to 2020","2013 (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Pedro J. Ramírez worked for from 2010 to 2020.,"Pedro J. Ramrez (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Charles Falconer, Baron Falconer of Thoroton, also known as Charles Falconer, held from 2015 to 2020.","Charles Falconer, Baron Falconer of Thoroton (2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of SSU Politehnica Timișoara, also known as SS Politehnica Timișoara, from 2010 to 2019","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Portrait of Professor Benjamin H. Rand from 2010 to 2020.,"The Museum of Fine Arts, Boston, 2010; The Museum of Fine Arts, Boston, 2011; The Museum of Fine Arts, Boston, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
List all employers Oded Aharonson worked for from 2010 to 2020.,"Oded Aharonson (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Damian Green, also known as Damian Howard Green, held from 2010 to 2017.","Deputy Minister of Health (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all positions Jiang Yi-huah held from 2012 to 2014.,"Jiang Yi-huah (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Shakhtar Donetsk, also known as Shakhtar Donetsk, from 2016 to 2020"," 2016 (2016, 2017, 2018, 2019, 2020)"
"List all coaches of FC Bayern Munich, also known as Bayern Munich, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Lina Zahr Eddine worked for from 2010 to 2019.,"The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Stéphane Trompille was a member of from 2010 to 2020.,"FN (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Yehiel Bar, also known as Hilik Bar, held from 2010 to 2020.","Deputy Minister of Foreign Affairs (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Tehran, also known as Teheran, from 2017 to 2020 ","The Iranian Revolutionary Guards (2017, 2018, 2019, 2020)"
List all educational institutions Yves Pons attended from 2010 to 2020.,"École Normale Supérieure de Santé (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Elaine Fox worked for from 2010 to 2020.,"The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Chris Huhne, also known as Christopher Murray Paul-Huhne, held from 2010 to 2012.","Deputy Prime Minister of the United Kingdom (2010, 2011, 2012); Minister of State for Defence (2010, 2011, 2012)"
"List all employers Brian Wecht, also known as Ninja Brian, worked for from 2010 to 2015.","Brian Wecht (2010, 2011, 2012, 2013, 2014, 2015); Brian Wecht (2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Lluís Puig i Gordi, also known as Lluís Puig, was a member of from 2010 to 2020.","i. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all positions László Kövér held from 2010 to 2020.,"Deputy Minister of Health (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Angela Rayner, also known as Angela Bowen, held from 2016 to 2020.","Deputy Minister of Health (2016, 2017, 2018, 2019, 2020)"
"List all sports teams Mario Balotelli, also known as Mario Balotelli Barwuah, played for from 2010 to 2020.","Mario Balotelli (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Bård Hoksrud, also known as Bård André Hoksrud, held from 2013 to 2019.","Brd Hoksrud (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of AC Sparta Prague, also known as Sparta Prague, from 2012 to 2020","2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
"List all political parties Andris Bērziņš, also known as Andris Berzins, was a member of from 2010 to 2020.","eská státa (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Ministry of Internal Affairs of Ukraine, also known as Ministry of Internal Affairs, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Hamburg, also known as Free and Hanseatic City of Hamburg, from 2010 to 2020 ","Präsidentschaft (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Kevin Cramer, also known as Kevin John Cramer, held from 2013 to 2020.","Kevin Cramer (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Viktor Yanukovych, also known as Viktor Yanukovich, held from 2010 to 2014.","Viktor Yanukovych (2010, 2011, 2012, 2013, 2014); Viktor Yanukovych (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Jordi Turull i Negre, also known as Jordi Turull, was a member of from 2010 to 2020.","Jordi Turull i Negre (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Kristen L. Knutson, also known as Kristen Knutson, worked for from 2010 to 2020.","Kristen L. Knutson (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all educational institutions Tyler Dorsey, also known as Tyler Quincy Dorsey, attended from 2011 to 2017.","Tyler Dorsey (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Carenza Lewis worked for from 2010 to 2020.,"The New York Yankees (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Louisville City FC, also known as Lou City, from 2014 to 2020","2014, 2015, 2016, 2017, 2018, 2019, 2020"
List all positions Édouard Philippe held from 2010 to 2020.,"Deputy Prime Minister of France (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of Vasas SC from 2019 to 2020,"2019 (2019, 2020); 2019 (2020); 2020"
List all positions Ludovic Orban held from 2017 to 2020.,"Deputy Minister of the Interior (2017, 2018, 2019, 2020)"
List all coaches of Odense Boldklub from 2015 to 2020,"2015, 2016, 2017, 2018, 2019, 2020"
List all political parties Janne Haaland Matlary was a member of from 2010 to 2020.,"land Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Zena Kamash, also known as Z. Kamash, worked for from 2010 to 2020.","The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all entities that owned Machinima, Inc. from 2016 to 2019.","2016 (2016, 2017, 2018, 2019, 2020)"
"List all positions Hu Jintao, also known as Hu Jin Tao, held from 2010 to 2013.","Hu Jintao (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Budapest District I, also known as Várkerület, from 2010 to 2020 ","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Bastian Schweinsteiger played for from 2010 to 2020.,"Bastian Schweinsteiger (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Rio Grande do Sul, also known as RS, from 2010 to 2020 ","lvaro de Oliveira (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all positions Selina Meyer held from 2010 to 2016.,"Selina Meyer (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Chang San-cheng, also known as Zhang Shanzheng, held from 2014 to 2016.","Chang San-cheng (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Manuel Delgado Ruiz was a member of from 2010 to 2015.,"PRI (2010, 2011, 2012, 2013, 2014, 2015); PRI (2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of United Russia, also known as Edinaya Rossiya, from 2010 to 2020","Theodore Ivanov (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Han Kuo-yu, also known as Daniel Han Kuo-yu, held from 2013 to 2020.","Han Kuo-yu (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Jim Banks, also known as James Edward Banks, held from 2010 to 2020.","The New York Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Márta V. Naszályi, also known as Márta Váradiné Naszályi, was a member of from 2010 to 2020.","eská sztuka (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Niue, also known as Niuē, from 2010 to 2020 ","Theodore ""Tony"" Aiken (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
