question,response,context
"List all employers Paul P. Glasziou, also known as Paul Glasziou, worked for from 2010 to 2020.",A.T. Kearney,"['Paul Gludovatz Name: Paul Gludovatz Image: Paul Gludovatz9.jpg Birth Date: June 10, 1946 Birth Place: Eberau, Austria Death Date: November 12, 2021 Manageryears1: –2006 Managerclubs1: Austria U-19 Manageryears2: 2006–2008 Managerclubs2: Austria U-20 Manageryears3: 2008-2012 Managerclubs3: SV Ried Manageryears4: 2012–2013 Managerclubs4: TSV Hartberg Manageryears5: 2013–2015 Managerclubs5: SV Eberau Manageryears6: 2015–2016 Managerclubs6: SV Ried', 'Paul Igasaki Name: Paul Igasaki Image: Paul Igasaki 2.jpg Office: Chair of the Equal Employment Opportunity Commission Status: Acting Term Start: 1998 Term End: 1998 President: Bill Clinton Predecessor: Gilbert F. Casellas Successor: Ida L. Castro Birth Date: July 25, 1955 Party: Democratic Spouse: Louann Igasaki Education: Northwestern University (BA) University of California, Davis (JD)', 'Paul Laudicina Birth Date: October 9, 1949 Birth Place: Brooklyn Occupation: Management consultant Employer: A.T. Kearney Title: Partner and Chairman Emeritus; Chairman, Global Business Policy Council Years Active: 1991–present Alma Mater: University of Chicago']"
List all employers Rupert Sutherland worked for from 2010 to 2020.,U.S. Steel,"['Jobbykrust Name: Jobbykrust Years Active: 1990-1997', 'David S. Sutherland Name: David S. Sutherland Birth Date: 1949 (age 64) Nationality: American Alma Mater: University of Saskatchewan Katz Graduate School of Business Occupation: Businessman Title: Chairman, U.S. Steel Term: January 2014- Predecessor: John P. Surma Boards: U.S. Steel (since 2008) GATX Imperial Oil', 'George Becker (labor leader) Name: George Becker Office: President of the United Steelworkers Order: 6th Termstart: March 1, 1994 Termend: February 28, 2001 Predecessor: Lynn R. Williams Successor: Leo Gerard Spouse: Jane Goforth Becker Children: 3 sons Birth Date: October 20, 1928 Birth Place: Madison, Illinois Death Place: Gibsonia, Pennsylvania Death Date: February 3, 2007 Occupation: Labor leader Steelworker']"
"List all sports teams Andrea Pirlo, also known as Andrea Pirlo Escaleto, played for from 2010 to 2020.",Sampdoria,"['Andrea Pirlo Name: Andrea Pirlo Image: Save the Dream at the Supercoppa (29879781574) (cropped).jpg Caption: Pirlo with Juventus in 2014 Full Name: Andrea Pirlo Birth Date: May 19, 1979 Birth Place: Flero, Italy Height: 1.77 m Position: Midfielder Currentclub: Sampdoria (manager) Youthyears1: 1992–1995 Youthclubs1: Brescia Years1: 1995–1998 Clubs1: Brescia Caps1: 47 Goals1: 6 Years2: 1998–2001 Clubs2: Inter Milan Caps2: 22 Goals2: 0 Years3: 1999–2000 Clubs3: → Reggina (loan) Caps3: 28 Goals3: 6 Years4: 2001 Clubs4: → Brescia (loan) Caps4: 10 Goals4: 0 Years5: 2001–2011 Clubs5: AC Milan Caps5: 284 Goals5: 32 Years6: 2011–2015 Clubs6: Juventus Caps6: 119 Goals6: 16 Years7: 2015–2017 Clubs7: New York City FC Caps7: 60 Goals7: 1 Totalcaps: 570 Totalgoals: 61 Nationalyears1: 1994 Nationalteam1: Italy U15 Nationalcaps1: 3 Nationalgoals1: 0 Nationalyears2: 1995 Nationalteam2: Italy U16 Nationalcaps2: 6 Nationalgoals2: 2 Nationalyears3: 1995 Nationalteam3: Italy U17 Nationalcaps3: 4 Nationalgoals3: 0 Nationalyears4: 1995–1997 Nationalteam4: Italy U18 Nationalcaps4: 18 Nationalgoals4: 7 Nationalyears5: 1998–2002 Nationalteam5: Italy U21 Nationalcaps5: 40 Nationalgoals5: 16 Nationalyears6: 2004 Nationalteam6: Italy Olympic (O.P.) Nationalcaps6: 6 Nationalgoals6: 0 Nationalyears7: 2002–2015 Nationalteam7: Italy Nationalcaps7: 116 Nationalgoals7: 13 Manageryears1: 2020 Managerclubs1: Juventus U23 Manageryears2: 2020–2021 Managerclubs2: Juventus Manageryears3: 2022–2023 Managerclubs3: Fatih Karagümrük Manageryears4: 2023– Managerclubs4: Sampdoria', 'Andrea De Nicolao Name: Andrea De Nicolao Image: Andrea De Nicolao.jpg Image Size: 290 Caption: De Nicolao playing for Cimberio Varese Number: 10 Position: Point guard Height M: 1.85 Weight Kg: 75 League: LBA Team: Reyer Venezia Mestre Birth Date: August 21, 1991 Birth Place: Camposampiero, Italy Nationality: Italian Draft Year: 2013 Career Start: 2009 Years1: 2009–2012 Team1: Benetton Treviso Years2: 2010–2011 Team2: →Pallacanestro Lago Maggiore Years3: 2012–2014 Team3: Varese Years4: 2014–2015 Team4: Verona Years5: 2015–2017 Team5: Reggiana Years6: 2017–present Team6: Reyer Venezia Highlights: *FIBA Europe Cup champion (2018) * Italian Supercup winner (2015) * Serie A2 Cup winner (2015) * 3× Serie A All-Star (2012–14)', 'Andrea Cinciarini Name: Andrea Cinciarini Image: Andrea Cinciarini 20 AX Armani Exchange Olimpia Milan 20180222 (cropped).jpg Caption: Cinciarini with Olimpia Milano in 2018 Number: 20 Position: Point guard Height M: 1.93 Weight Kg: 85 League: Lega Basket Serie A Team: Victoria Libertas Pesaro Birth Date: June 21, 1986 Birth Place: Cattolica, Italy Nationality: Italian Draft Year: 2008 Career Start: 2003 Years1: 2003–2007 Team1: VL Pesaro Years2: 2005–2006 Team2: →Senigallia Years3: 2006–2007 Team3: →Pistoia Years4: 2007–2011 Team4: Sutor Montegranaro Years5: 2008–2009 Team5: →Pavia Years6: 2011–2012 Team6: Cantù Years7: 2012–2015 Team7: Reggiana Years8: 2015–2021 Team8: Olimpia Milano Years9: 2021–2023 Team9: Reggiana Years10: 2023 Team10: Zaragoza Years11: 2023–present Team11: VL Pesaro Highlights: * EuroChallenge champion (2014) * EuroChallenge Final Four MVP (2014) *FIBA Europe Cup assists leader (2022) * 2× Italian League champion (2016, 2018)  * 3× Italian Cup winner (2016, 2017, 2021) * 4× Italian Super Cup winner 2016–2018, 2021) *All-Italian League Team (2022) *4× Italian League assists leader (2014, 2015, 2022,  2023)']"
"List all sports teams David Luiz, also known as David Luiz Moreira Marinho, played for from 2010 to 2020.",Chelsea,"['David Luiz Name: David Luiz Image: David Luiz at Baku before 2019 UEFA Europe League Final.jpg Caption: David Luiz with Chelsea in 2019 Full Name: David Luiz Moreira Marinho Birth Date: April 22, 1987 Birth Place: Diadema, Brazil Height: 1.89 m Position: Centre back, defensive midfielder Currentclub: Flamengo Clubnumber: 23 Youthyears1: 1999–2001 Youthclubs1: São Paulo Youthyears2: 2001–2005 Youthclubs2: Vitória Years1: 2006–2007 Clubs1: Vitória Caps1: 52 Goals1: 2 Years2: 2007 Clubs2: → Benfica (loan) Caps2: 10 Goals2: 0 Years3: 2007–2011 Clubs3: Benfica Caps3: 72 Goals3: 4 Years4: 2011–2014 Clubs4: Chelsea Caps4: 81 Goals4: 6 Years5: 2014–2016 Clubs5: Paris Saint-Germain Caps5: 56 Goals5: 3 Years6: 2016–2019 Clubs6: Chelsea Caps6: 79 Goals6: 5 Years7: 2019–2021 Clubs7: Arsenal Caps7: 53 Goals7: 3 Years8: 2021– Clubs8: Flamengo Caps8: 63 Goals8: 1 Nationalyears1: 2007 Nationalteam1: Brazil U20 Nationalcaps1: 6 Nationalgoals1: 0 Nationalyears2: 2010–2018 Nationalteam2: Brazil Nationalcaps2: 57 Nationalgoals2: 3 Club-Update: 00:51, 3 March 2024 (UTC) Nationalteam-Update: 07:28, 19 June 2020 (UTC)', 'David Luque-Velasco Name: David Luque-Velasco Country Represented: 🇪🇸 Birth Date: March 2, 1984 Birth Place: Barcelona, Spain Plays: Right-handed Careerprizemoney: $18,941 Singlesrecord: 0–1 (ATP Tour) Highestsinglesranking: No. 565 (22 May 2006) Highestdoublesranking: No. 712 (28 Aug 2006)', 'Luiz Júnior (footballer, born 1989) Name: Luiz Júnior Image: Luiz Martin Carlos Juinior 2011.jpg Image Size: 200px Caption: Luiz Júnior playing for Lekhwiya in 2011 Fullname: Luiz Mairton Carlos Júnior Height: 1.77m Birth Date: January 13, 1989 Birth Place: Jaguaruana, Brazil Currentclub: Al-Duhail Clubnumber: 8 Position: Defender Years1: 2009–2010 Clubs1: Uniclinic Years2: 2010– Clubs2: Al-Duhail Caps2: 217 Goals2: 10 Nationalyears1: 2013– Nationalteam1: Qatar Nationalcaps1: 24 Nationalgoals1: 0 Nationalteam-Update: 23 March 2017']"
List all educational institutions Evgeny Konnov attended from 2010 to 2020.,Krasnoyarsk State University,"['Evgeny Konnov Name: Evgeny Konnov Image: EvgenyKonnov.jpg Birth Date: November 19, 1992 Birth Place: Chirchiq, Uzbekistan Instrument: Piano Genre: Classical Occupation: Musician', 'Moscow Polytechnic University Name: Moscow Polytechnic University Logo: LogoMospolytech.jpg Address: B. Semyenovskaya St, 38, City: Moscow Zipcode: 107023 Country: Russia Coordinates: 55.78147°N, 37.71119°W Other Names: Roman: Moskovski politekhnicheski universitet, Russian: Московский политехнический университет Former Name: Komisarov Technical School Schooltype: University Established: 1865 Founder: Ministry of Science and Higher Education of the Russian Federation Head Of School: Vladimir Miklushevsky Qs Eeca: 351-400 Qs Eeca Year: 2022', 'Mikhail Kotyukov Name: Mikhail Kotyukov Image: Mikhail Kotjukov 2018.jpg Office: Governor of Krasnoyarsk Krai (acting) Term Start: 20 April 2023 Predecessor: Aleksandr Uss Office1: Deputy Minister of Finance Term Start1: 4 March 2020 Term End1: 24 April 2023 Office2: Minister of Science and Higher Education Term Start2: 15 January 2020 Acting: 15–21 January 2020 Term End2: 18 May 2018 Predecessor2: Olga Vasilyeva (as Minister of Education and Science) Successor2: Valery Falkov Birth Date: December 21, 1976 Birth Place: Krasnoyarsk, RSFSR, Soviet Union Alma Mater: Krasnoyarsk State University Native Name: Михаил Котюков Native Name Lang: ru Caption: Kotyukov in 2018']"
"List all employers David Mba, also known as David U. Mba, worked for from 2010 to 2020.",Andel De Montfor University London South Bank University,"['David S. Ahn Name: David S. Ahn Occupation: Economist, professor Education: B.A. & M.A., (1999) Emory University Ph.D., (2004) Stanford University Workplaces: University of California, Berkeley Washington University in St. Louis', 'David Mba Name: David Mba Alt: 1.70m Birth Name: Francisco David Leonardo Mba Fields: Machine Condition Monitoring Workplaces: Andel  De Montfort University London South Bank University Alma Mater: University of Hertfordshire (BSc) Cranfield University (PhD) Thesis Title: Condition monitoring of slow speed rotating machinery using stress waves Thesis Url: https://copac.jisc.ac.uk/id/49468766?style=html Thesis Year: 1998 Academic Advisors: R. H. Bannister Website: https://www.bcu.ac.uk/about-us/corporate-information/directorate', 'David Beisel Name: David Beisel Nationality: American Occupation: Businessperson venture capitalist Alma Mater: Duke University Stanford Graduate School of Business Website: https://www.davidbeisel.com/']"
"List all employers Deborah A. Cobb-Clark, also known as Deborah Cobb-Clark, worked for from 2016 to 2020.","University of Maryland, College Park","['Dorothy Sue Cobble Name: Dorothy Sue Cobble Nationality: American Occupation: Professor Alma Mater: University of California, Berkeley (B.A.) Stanford University(M.A., Ph.D.) Discipline: History, Labor Studies Notable Works: The Other Women’s Movement (2005)', 'Suzanne Jane Wilkinson Name: Suzanne Wilkinson Fields: disaster management construction management engineering management build back better Workplaces: Massey University Alma Mater: Oxford Brookes UniversityMassey University Thesis1 Title: Entry to employment : choices made by qualified women civil engineers leaving higher education. Thesis1 Url: http://www.worldcat.org/title/entry-to-employment-choices-made-by-qualified-women-civil-engineers-leaving-higher-education/oclc/60260464 Thesis1 Year: 1993', 'Jacqueline A. Berrien Name: Jacqueline A. Berrien Image: File:Jacqueline_Berrien.JPG Birth Date: November 28, 1961 Birth Place: Washington, D.C. Death Date: November 9, 2015 Death Place: Baltimore, Maryland Birthname: Jacqueline Ann Berrien Office: Chair of the Equal Employment Opportunity Commission President: Barack Obama Term Start: April 7, 2010 Term End: September 2, 2014 Predecessor: Naomi C. Earp Successor: Jenny R. Yang Office1: Member of the Equal Employment Opportunity Commission Term Start1: April 7, 2010 Term End1: 2014 Predecessor1: Christine Griffin Successor1: Charlotte Burrows Spouse: Peter M. Williams Residence: Washington, D.C. Alma Mater: Oberlin College (BA) Harvard University (JD) Profession: Attorney']"
"List all sports teams Adam Lallana, also known as Adam David Lallana, played for from 2010 to 2020.",Brighton& Hove Albion,"['Adam Lallana Name: Adam Lallana Image: Adam Lallana in Bangkok (19721313015).jpg Caption: Lallana with Liverpool in 2015 Full Name: Adam David Lallana Birth Date: May 10, 1988 Birth Place: St Albans, England Height: 1.72 m Position: Attacking midfielder Currentclub: Brighton & Hove Albion Clubnumber: 14 Youthyears1: –2000 Youthclubs1: AFC Bournemouth Youthyears2: 2000–2006 Youthclubs2: Southampton Years1: 2006–2014 Clubs1: Southampton Caps1: 235 Goals1: 48 Years2: 2007 Clubs2: → AFC Bournemouth (loan) Caps2: 3 Goals2: 0 Years3: 2014–2020 Clubs3: Liverpool Caps3: 128 Goals3: 18 Years4: 2020– Clubs4: Brighton & Hove Albion Caps4: 92 Goals4: 3 Nationalyears1: 2006 Nationalteam1: England U18 Nationalcaps1: 2 Nationalgoals1: 1 Nationalyears2: 2006 Nationalteam2: England U19 Nationalcaps2: 2 Nationalgoals2: 0 Nationalyears3: 2008 Nationalteam3: England U21 Nationalcaps3: 1 Nationalgoals3: 0 Nationalyears4: 2013–2018 Nationalteam4: England Nationalcaps4: 34 Nationalgoals4: 3 Club-Update: 23:16, 3 April 2024 (UTC)', 'Adam Saad (footballer, born 2004) Name: Adam Saad Birth Date: February 8, 2004 Position: Forward Currentclub: Dreams Clubnumber: 18 Years1: 2020– Clubs1: Dreams Caps1: 3 Goals1: 0 Club-Update: 17:44, 12 April 2020 (UTC)', '2010–11 USM Blida season Club: USM Blida Season: 2010–11 Manager: Kamel Mouassa Mgrtitle: Head coach Chairman: Mohamed Zaïm Stadium: Stade Mustapha Tchaker Stade Frères Brakni League: Ligue 1 League Result: 16th Cup1: Algerian Cup Cup1 Result: Round of 32 League Topscorer: Abdelkader Harizi (5 goals) Season Topscorer: Abdelkader Harizi (5 goals) Prevseason: 2009–10 Nextseason: 2011–12']"
"List all sports teams Alexis Sánchez, also known as Alexis Alejandro Sánchez Sánchez, played for from 2010 to 2020.",Alexis Sánchez,"[""Alexis Sánchez Name: Alexis Sánchez Image: Alexis Sánchez 2017.jpg Caption: Sánchez playing for Chile at the 2017 FIFA Confederations Cup Fullname: Alexis Alejandro Sánchez Sánchez Birth Date: December 19, 1988 Birth Place: Tocopilla, Chile Height: 1.69 m Position: Forward Currentclub: Inter Milan Clubnumber: 70 Youthyears1: 1999 Youthclubs1: Universidad Católica Youthyears2: 2000–2003 Youthclubs2: Escuela Bernardo O'Higgins Youthyears3: 2004–2005 Youthclubs3: Cobreloa Years1: 2005–2006 Clubs1: Cobreloa Caps1: 47 Goals1: 12 Years2: 2006–2011 Clubs2: Udinese Caps2: 95 Goals2: 20 Years3: 2006–2007 Clubs3: → Colo-Colo (loan) Caps3: 32 Goals3: 5 Years4: 2007–2008 Clubs4: → River Plate (loan) Caps4: 23 Goals4: 4 Years5: 2011–2014 Clubs5: Barcelona Caps5: 88 Goals5: 39 Years6: 2014–2018 Clubs6: Arsenal Caps6: 122 Goals6: 60 Years7: 2018–2020 Clubs7: Manchester United Caps7: 32 Goals7: 3 Years8: 2019–2020 Clubs8: → Inter Milan (loan) Caps8: 22 Goals8: 4 Years9: 2020–2022 Clubs9: Inter Milan Caps9: 57 Goals9: 12 Years10: 2022–2023 Clubs10: Marseille Caps10: 35 Goals10: 14 Years11: 2023– Clubs11: Inter Milan Caps11: 19 Goals11: 2 Nationalyears1: 2004 Nationalteam1: Chile U15 Nationalyears2: 2005 Nationalteam2: Chile U17 Nationalyears3: 2007 Nationalteam3: Chile U20 Nationalyears4: 2006– Nationalteam4: Chile Nationalcaps4: 162 Nationalgoals4: 51 Club-Update: 22:41, 14 April 2024 (UTC) Nationalteam-Update: 01:47, 27 March 2024 (UTC)"", 'Alfredo Sánchez (footballer, born 1904) Name: Alfredo Sánchez Birth Date: 8 Junio 1908 Birth Place: Orizaba, Mexico Death Date: 15 April 1991 Position: Midfielder Years1: (1928 -1943) Clubs1: Club América Nationalyears1: 1930-1938 Nationalteam1: Mexico Nationalcaps1: 12 Nationalgoals1: 0', 'Alejandro Sánchez (baseball) Name: Alejandro Sanchez Image: Alex Sanchez Twins 1986.jpg Position: Outfielder Birth Date: February 14, 1959 Birth Place: San Pedro de Macorís, Dominican Republic Bats: Right Throws: Right Debutleague: MLB Debutdate: September 6 Debutyear: 1982 Debutteam: Philadelphia Phillies Finalleague: MLB Finaldate: May 16 Finalyear: 1987 Finalteam: Oakland Athletics Statleague: MLB Stat1Label: Batting average Stat1Value: .229 Stat2Label: Home runs Stat2Value: 8 Stat3Label: Runs batted in Stat3Value: 21 Teams: *Philadelphia Phillies (–) *San Francisco Giants  *Detroit Tigers  *Minnesota Twins  *Oakland Athletics']"
"List all positions Matti Vanhanen, also known as Matti Taneli Vanhanen, held from 2010 to 2020.",Rightwing,"['Matti Lamberg Name: Matti Lamberg Image Size: 225px Played For: Kiekko-Laser Jokerit Kiekko-Vantaa HIFK Espoo United Vaasan Sport Porin Ässät Position: Right wing Height Ft: 5 Height In: 11 Weight Lb: 165 Shoots: Right Birth Date: January 6, 1993 Birth Place: Kiiminki, Finland Career Start: 2010 Career End: 2019', 'Harmony Tan Name: Harmony Tan Image: Tan RGQ23.jpg Caption: Tan at the 2023 French Open Country: 🇫🇷 Birth Date: September 11, 1997 Birth Place: Paris, France Height: 1.70 m Turnedpro: 2012 Plays: Right-handed (two-handed backhand) Coach: Sam Sumyk (2021-2022), Nathalie Tauziat (-2023), Simon Goffin (2023) Careerprizemoney: US$ 1,377,701 Singlestitles: 10 ITF Highestsinglesranking: No. 90 (4 April 2022) Currentsinglesranking: No. 221 (18 March 2024) Australianopenresult: 2R (2022) Frenchopenresult: 2R (2021) Wimbledonresult: 4R (2022) Usopenresult: 1R (2018, 2022) Doublestitles: 1 ITF Highestdoublesranking: No. 302 (14 September 2020) Frenchopendoublesresult: 1R (2017, 2020, 2021, 2022) Frenchopenmixedresult: 1R (2022) Updated: 30 March 2024', 'Matti Helminen Name: Matti Helminen Image: Matti Helminen on Liège-Bastogne-Liège 2011 start line.jpg Caption: Helminen at the 2011 Liège–Bastogne–Liège Fullname: Matti Helminen Birth Date: August 14, 1975 Birth Place: Kotka, Finland Height: 1.84 m Weight: 76 kg Discipline: Road Role: Rider Ridertype: Time trialist Amateuryears1: 2015 Amateurteam1: Zannata Cycling Team Amateuryears2: 2016–2020 Amateurteam2: VP Consulting–Zannata CT Proyears1: 2005–2006 Proteam1: Profel Continental Team Proyears2: 2007 Proteam2: DFL–Cyclingnews–Litespeed Proyears3: 2008–2009 Proyears4: 2009 Proteam4: Cycling Club Bourgas Proyears5: 2011–2012']"
"List all political parties Rabi Narayan Pani, also known as Ravi Narayan Pani, was a member of from 2010 to 2020.",Bharatiya Janata Party,"['Tej Narayan Pandey Name: Tej Narayan Pandey Image: Tej Narayan Pandey.jpg Birth Date: 1981 (age 31) Office: Member of the Uttar Pradesh Legislative Assembly Term Start: 15 March 2012 Constituency: Ayodhya Term End: 19 March 2017 Party: Samajwadi Party Nationality: Indian Alma Mater: Lucknow University, 2003 Profession: Politician Succeeded: Ved Prakash Gupta Preceded: Lallu Singh', 'Narayan Lal Panchariya Name: Narayan Lal Panchariya Birth Date: 10 August 1954 Birth Place: Phalodi, Rajasthan, India Office: MP of Rajya Sabha for Rajasthan Constituency: Rajasthan Term Start: 10 April 2014 Term End: 23 march 2020 Party: Bharatiya Janata Party Spouse: Sumitra Panchariya', 'Harendra Pratap Pandey Office1: Member of Bihar Legislative Council Term Start1: 22 July 2010 Term End1: 21 July 2016 Successor1: Vinod Narayan Jha Constituency1: elected by the members of Legislative Assembly Birth Date: November 8, 1950 Birth Place: Nawanagar, Buxar, Bihar Party: Bharatiya Janata Party Father: Shiv Vilas Pandey Occupation: Politician Source: https://www.biharvidhanparishad.gov.in/Members/HarendraPanday.htm']"
"List all entities that owned VK, also known as vk.com, from 2010 to 2014.",Vosok Games,"['VK (company) Name: VK Company Limited Logo: VK Compact Logo (2021-present).svg Logo Size: 140 Type: Public Traded As: mcx: VKCO lse: VKCO Foundation: October 15, 1998 Location: Moscow, Russia Key People: Vladimir Kiriyenko (CEO) Industry: Internet information providers Services: electronic mail, search engine, file hosting service, social networking (VK, OK.ru), instant messaging, e-commerce, communication, transport Revenue:  Operating Income:  Net Income:  Assets:  Equity:  Num Employees: More than 10 000 (2022) Area Served: Worldwide Subsid: My.com  My.Games Website: vk.company', 'VK (drink) Name: VK Type: Alcopop Manufacturer: Global Brands Origin: United Kingdom Introduced: 1997 Abv: 4% Website: https://www.vkofficial.com/', 'VG Entertainment Name: VG Entertainment Ltd Logo: VG Entertainment.svg Former Name: Vostok Games (2012–2023) Type: Private Industry: Video games Predecessor: GSC Game World Founded: March 2012 Founder: Oleg Yavorsky Hq Location City: Kyiv Hq Location Country: Ukraine Key People: Oleg Yavorsky (marketing manager) Products: Survarium Num Employees: 40 Num Employees Year: 2013 Website: https://vgentertainment.com/']"
"List all political parties Yuriko Koike, also known as Koike Yuriko, was a member of from 2010 to 2020.",Conservative Party of New Native,"['Conservative Party of Russia Name: Conservative Party of Russia Native Name: Консервативная партия России Logo: Logo_of_the_Conservative_Party_of_Russia.gif Leader1 Title: First leader Leader1 Name: Lev Ubozhko (1989-2003) Leader2 Title: Last leader Leader2 Name: Yuriy Tegin or Nikolay Bogachyov (2003-2005) Colorcode: #1093EC Abbreviation: CPR (English) КПР (Russian) Foundation: January 13, 1989 (as Democratic Party) October 7, 1990 Split: Democratic Union Dissolved: April 2005 Ideology: Conservatism Liberal conservatism Anti-communism Position: Centre-right to right-wing Headquarters: Moscow, Russia Slogan: «Education, Health, Love» («Образование, здоровье, любовь») Colours: White Light blue Website: kpr.ru Country: Russia', 'Kibō no Tō Logo: Kibo no To Logo.png Leader: Nariaki Nakayama Leader2 Title: Secretary-General Leader2 Name: Kazunari Inoue Founder: Yuriko Koike Foundation: September 25, 2017 (first iteration)  May 7, 2018 (second iteration) Dissolved: May 7, 2018 (first iteration)  October 1, 2021 (second iteration) Ideology: Second incarnation  Conservatism  First incarnation  Conservatism  Right-wing populism  Factions:  National conservatism Headquarters: 2-17-10-203 Nagatachō, Chiyoda, Tokyo Website: https://kibounotou.jp/ Country: Japan Position: Second incarnation (May 2018–October 2021):  Right-wing to far-right  First (until May 2018):  Centre-right to right-wing Native Name: 希望の党 Native Name Lang: ja Split: Democratic Party Liberal Democratic Party Merged: Democratic Party for the People (first iteration) Colors: Green', 'Yuri Shymko Name: Yuri Shymko Image: Yuri Shymko.jpg Caption: Yuri Shymko, 2006 Office: 7th President of the World Congress of Free Ukrainians Term Start: 1988 Term End: 1993 Predecessor: Peter Savaryn Successor: Dmytro Cipywnyk Office1: Member of the Ontario Provincial Parliament for High Park-Swansea Term Start1: March 19, 1981 Term End1: September 7, 1987 Predecessor1: Ed Ziemba Successor1: David Fleet Office2: Member of the Canadian Parliament for Parkdale Term Start2: October 16, 1978 Term End2: May 22, 1979 Predecessor2: Stanley Haidasz Successor2: Jesse Flis Party: PC (Federal, 1978-1979) Ontario PC (Provincial, 1981-1987) Birth Date: September 6, 1940 Birth Place: Cosel, Province of Silesia, (Germany) modern Koźle, Poland Residence: Toronto, Ontario Spouse: Stephanie Kowal Children: 2 Occupation: Consultant']"
"List all coaches of Sporting CP, also known as Sporting Club Portugal, from 2018 to 2020",Francisco Cruz,"['2000–01 Sporting CP season Club: Sporting CP Season: 2000–01 Chrtitle: President Chairman: António Dias da Cunha Mgrtitle: Head coach Manager: Fernando Mendes Stadium: Estádio José Alvalade League: Primeira Liga League Result: 3rd Cup1: Taça de Portugal Cup1 Result: Semi-finals Cup2: Supertaça Cândido de Oliveira Cup2 Result: Winners Cup3: UEFA Champions League Cup3 Result: Group stage League Topscorer: Alberto Acosta (14) Season Topscorer: Alberto Acosta (18) Prevseason: 1999–2000 Nextseason: 2001–02', 'Sporting CP (volleyball) Clubname: Sporting CP Fullname: Sporting Clube de Portugal Founded: 1938 Ground: Pavilhão João Rocha Capacity: 3,000 Chrtitle: President Chairman: Frederico Varandas Manager: Gersinho Captain: Miguel Maia League: Portuguese First Division Pattern La1: _sporting1920h Pattern B1: _sporting1920h Pattern Ra1: _sporting1920h Pattern Sh1: _sporting1617H Pattern La2: _sporting1920a Pattern B2: _sporting1920a Pattern Ra2: _sporting1920a Pattern Sh2: _sporting1920a', 'Sporting CP Esports Name: Sporting CP Esports Logo Size: 150 Full Name: Sporting Clube de Portugal Esports Short Name: SCP Esports Sport: esports Game: FIFA Founded: July 21, 2016 Chairman: Frederico Varandas Coach: Francisco Cruz Manager: Márcio Figueiredo Parent Group: Sporting CP']"
List all employers Peter Scholze worked for from 2011 to 2020.,Peter Scholze,"['Jobbykrust Name: Jobbykrust Years Active: 1990-1997', 'Scholz Research &amp; Development, Inc. Name: Scholz Research & Development, Inc. Logo: SR&D_Corporate_Logo.png Type: Private Industry: Consumer Electronics Founded: 1980 Founder: Tom Scholz Defunct: 1994 Successor: Dunlop Manufacturing Hq Location City: Waltham, MA, USA Hq Location Country: USA Key People: Tom Scholz, Neil A. Miller, Bob Cedro', 'Peter K. Vogt Birth Date: March 10, 1932 Workplaces: The Scripps Research Institute in La Jolla Alma Mater: University of Würzburg  University of Tübingen Awards: Paul Ehrlich and Ludwig Darmstaedter Prize (1988)']"
List all employers Susanne Ås Sivborg worked for from 2010 to 2020.,San José State University,"['Jobbykrust Name: Jobbykrust Years Active: 1990-1997', 'Susan Martin Name: Susan Martin Image: Susan Martin 11-09-12.jpg Caption: Martin in 2012 Title: President of San José State University (Interim) Term Start: August 18, 2015 Term End: July 1, 2016 Predecessor: Mohammad Qayoumi Successor: Mary Papazian Order2: 22nd Office2: President of Eastern Michigan University Term Start2: July 7, 2008 Term End2: July 7, 2015 Predecessor2: Donald M. Loppnow Successor2: Kim Schatzel Office3: Provost & Vice-Chancellor of Academic Affairs at University of Michigan–Dearborn Term Start3: 2006 Term End3: 2008 Predecessor3: Robert Simpson Successor3: Don Bord Birth Name: Susan Work Birth Date: October 24, 1950 Birth Place: Croswell, Michigan Alma Mater: Central Michigan University Michigan State University Residence: San Jose, CA Profession: Professor Spouse: Dr. Larry Martin Website: Eastern Michigan University: Office of the President Order: 29th', 'Susan Tsui Grundmann Name: Susan Tsui Grundmann Image: Susan Tsui Grundmann, FLRA Chair.jpg Office: Chair of the Federal Labor Relations Authority President: Joe Biden Term Start: January 3, 2023 Predecessor: Ernest W. DuBester Office1: Member of the Federal Labor Relations Authority President1: Joe Biden Term Start1: May 17, 2022 Predecessor1: James T. Abbott Office2: Chair of the Merit Systems Protection Board President2: Barack Obama Term Start2: November 12, 2009 Term End2: January 7, 2017 Predecessor2: Neil McPhie Office3: Member of the Merit Systems Protection Board President3: Barack Obama Term Start3: November 12, 2009 Term End3: January 7, 2017 Predecessor3: Neil McPhie Successor3: Tristan Leavitt Party: Democratic Education: American University (BA) Georgetown University (JD)']"
